nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-10-06 02:00:00,1.1629772668137785e-06
NLD,ccgt,power,2024-10-06 03:00:00,1.1601292399549424e-06
NLD,ccgt,power,2024-10-06 04:00:00,1.161007475468552e-06
NLD,ccgt,power,2024-10-06 05:00:00,1.1625814106075655e-06
NLD,ccgt,power,2024-10-06 06:00:00,1.1631659118556403e-06
NLD,ccgt,power,2024-10-06 07:00:00,1.1640732226483267e-06
NLD,ccgt,power,2024-10-06 08:00:00,1.1613949146990982e-06
NLD,ccgt,power,2024-10-06 09:00:00,1.1398511191945898e-06
NLD,ccgt,power,2024-10-06 10:00:00,1.1292447425945672e-06
NLD,ccgt,power,2024-10-06 11:00:00,1.1259131909603908e-06
NLD,ccgt,power,2024-10-06 12:00:00,1.1285617723817394e-06
NLD,ccgt,power,2024-10-06 13:00:00,1.125468500969072e-06
NLD,ccgt,power,2024-10-06 14:00:00,1.1242675601730442e-06
NLD,ccgt,power,2024-10-06 15:00:00,1.1323395113790142e-06
NLD,ccgt,power,2024-10-06 16:00:00,1.1338747366296514e-06
NLD,ccgt,power,2024-10-06 17:00:00,1.1333038270194828e-06
NLD,ccgt,power,2024-10-06 18:00:00,1.1676491731314265e-06
NLD,ccgt,power,2024-10-06 19:00:00,1.1712168875308362e-06
NLD,ccgt,power,2024-10-06 20:00:00,1.4630929813728684e-06
NLD,ccgt,power,2024-10-06 21:00:00,1.4773180040746244e-06
NLD,ccgt,power,2024-10-06 22:00:00,1.165760676165306e-06
NLD,ccgt,power,2024-10-06 23:00:00,1.161972998277392e-06
NLD,ccgt,power,2024-10-07 00:00:00,1.166181612461542e-06
NLD,ccgt,power,2024-10-07 01:00:00,1.1642594942696096e-06
NLD,ccgt,power,2024-10-07 02:00:00,1.1642647256528615e-06
NLD,ccgt,power,2024-10-07 03:00:00,1.1640290129411425e-06
NLD,ccgt,power,2024-10-07 04:00:00,1.1639222642690662e-06
NLD,ccgt,power,2024-10-07 05:00:00,1.1665416335519558e-06
NLD,ccgt,power,2024-10-07 06:00:00,1.1662553457504393e-06
NLD,ccgt,power,2024-10-07 07:00:00,1.482135552294565e-06
NLD,ccgt,power,2024-10-07 08:00:00,1.4610889010004038e-06
NLD,ccgt,power,2024-10-07 09:00:00,1.169312959412483e-06
NLD,ccgt,power,2024-10-07 10:00:00,1.1764743903032752e-06
NLD,ccgt,power,2024-10-07 11:00:00,1.1602699008567054e-06
NLD,ccgt,power,2024-10-07 12:00:00,1.15492442241856e-06
NLD,ccgt,power,2024-10-07 13:00:00,1.1561748402307134e-06
NLD,ccgt,power,2024-10-07 14:00:00,1.1555901635495113e-06
NLD,ccgt,power,2024-10-07 15:00:00,1.1544132192854587e-06
NLD,ccgt,power,2024-10-07 16:00:00,1.1524182467623429e-06
NLD,ccgt,power,2024-10-07 17:00:00,1.1547286340800019e-06
NLD,ccgt,power,2024-10-07 18:00:00,1.1778103175458026e-06
NLD,ccgt,power,2024-10-07 19:00:00,1.1681333819476983e-06
NLD,ccgt,power,2024-10-07 20:00:00,1.4718285594702337e-06
NLD,ccgt,power,2024-10-07 21:00:00,1.1594342235924466e-06
NLD,ccgt,power,2024-10-07 22:00:00,1.1730363436078485e-06
NLD,ccgt,power,2024-10-07 23:00:00,1.1667025728358824e-06
NLD,ccgt,power,2024-10-08 00:00:00,1.1637824307688185e-06
NLD,ccgt,power,2024-10-08 01:00:00,1.1592198611136157e-06
NLD,ccgt,power,2024-10-08 02:00:00,1.1504466401451169e-06
NLD,ccgt,power,2024-10-08 03:00:00,1.149660474413644e-06
NLD,ccgt,power,2024-10-08 04:00:00,1.1487112156738886e-06
NLD,ccgt,power,2024-10-08 05:00:00,1.1365304213231805e-06
NLD,ccgt,power,2024-10-08 06:00:00,1.1576562735266275e-06
NLD,ccgt,power,2024-10-08 07:00:00,1.1657129346849407e-06
NLD,ccgt,power,2024-10-08 08:00:00,1.1583301357094783e-06
NLD,ccgt,power,2024-10-08 09:00:00,1.1655535550005773e-06
NLD,ccgt,power,2024-10-08 10:00:00,1.1323293130954988e-06
NLD,ccgt,power,2024-10-08 11:00:00,1.125825402088841e-06
NLD,ccgt,power,2024-10-08 12:00:00,1.1263284095260843e-06
NLD,ccgt,power,2024-10-08 13:00:00,1.1349615119607285e-06
NLD,ccgt,power,2024-10-08 14:00:00,1.1269571991466077e-06
NLD,ccgt,power,2024-10-08 15:00:00,1.1423285975467254e-06
NLD,ccgt,power,2024-10-08 16:00:00,1.1446247857459409e-06
NLD,ccgt,power,2024-10-08 17:00:00,1.1345242306893145e-06
NLD,ccgt,power,2024-10-08 18:00:00,1.1724475935109965e-06
NLD,ccgt,power,2024-10-08 19:00:00,1.1693856750242268e-06
NLD,ccgt,power,2024-10-08 20:00:00,1.4867363915788785e-06
NLD,ccgt,power,2024-10-08 21:00:00,1.1639283229585322e-06
NLD,ccgt,power,2024-10-08 22:00:00,1.1642662892162679e-06
NLD,ccgt,power,2024-10-08 23:00:00,1.166739755622463e-06
NLD,ccgt,power,2024-10-09 00:00:00,1.1632824804287938e-06
NLD,ccgt,power,2024-10-09 01:00:00,1.1638369025476856e-06
NLD,ccgt,power,2024-10-09 02:00:00,1.1651018052031767e-06
NLD,ccgt,power,2024-10-09 03:00:00,1.1659736598434176e-06
NLD,ccgt,power,2024-10-09 04:00:00,1.165829352925982e-06
NLD,ccgt,power,2024-10-09 05:00:00,1.1652149041811678e-06
NLD,ccgt,power,2024-10-09 06:00:00,1.1682758195167078e-06
NLD,ccgt,power,2024-10-09 07:00:00,1.162383087441733e-06
NLD,ccgt,power,2024-10-09 08:00:00,1.1631026358175853e-06
NLD,ccgt,power,2024-10-09 09:00:00,1.1715734697999736e-06
NLD,ccgt,power,2024-10-09 10:00:00,1.1622342847323209e-06
NLD,ccgt,power,2024-10-09 11:00:00,1.1485117142641388e-06
NLD,ccgt,power,2024-10-09 12:00:00,1.1358426731046707e-06
NLD,ccgt,power,2024-10-09 13:00:00,1.1396532381074227e-06
NLD,ccgt,power,2024-10-09 14:00:00,1.1335168507865118e-06
NLD,ccgt,power,2024-10-09 15:00:00,1.1382904979803004e-06
NLD,ccgt,power,2024-10-09 16:00:00,1.13617923482392e-06
NLD,ccgt,power,2024-10-09 17:00:00,1.1345382106445288e-06
NLD,ccgt,power,2024-10-09 18:00:00,1.1548644882744324e-06
NLD,ccgt,power,2024-10-09 19:00:00,1.172424794136412e-06
NLD,ccgt,power,2024-10-09 20:00:00,1.169699221768134e-06
NLD,ccgt,power,2024-10-09 21:00:00,1.1675250043778054e-06
NLD,ccgt,power,2024-10-09 22:00:00,1.1708147595789137e-06
NLD,ccgt,power,2024-10-09 23:00:00,1.1666152269116607e-06
NLD,ccgt,power,2024-10-10 00:00:00,1.1643385781970588e-06
NLD,ccgt,power,2024-10-10 01:00:00,1.164484979963203e-06
NLD,ccgt,power,2024-10-10 02:00:00,1.1641974888209825e-06
NLD,ccgt,power,2024-10-10 03:00:00,1.163686220365459e-06
NLD,ccgt,power,2024-10-10 04:00:00,1.1638977626528355e-06
NLD,ccgt,power,2024-10-10 05:00:00,1.1748844276560566e-06
