nodes,techs,costs,timesteps,cost_operation_variable
NLD,ccgt,monetary,2024-10-14 18:00:00,7.114464871975727e-08
NLD,ccgt,monetary,2024-10-14 19:00:00,7.942253575060006e-08
NLD,ccgt,monetary,2024-10-14 20:00:00,50.18717372359248
NLD,ccgt,monetary,2024-10-14 21:00:00,1.129003116581359e-07
NLD,ccgt,monetary,2024-10-14 22:00:00,5.476909935145828e-08
NLD,ccgt,monetary,2024-10-14 23:00:00,5.81969449838915e-08
NLD,ccgt,monetary,2024-10-15 00:00:00,5.7864805466878826e-08
NLD,ccgt,monetary,2024-10-15 01:00:00,5.786153533562697e-08
NLD,ccgt,monetary,2024-10-15 02:00:00,5.772157846030411e-08
NLD,ccgt,monetary,2024-10-15 03:00:00,5.745353494526998e-08
NLD,ccgt,monetary,2024-10-15 04:00:00,5.754889527106601e-08
NLD,ccgt,monetary,2024-10-15 05:00:00,5.789958123355541e-08
NLD,ccgt,monetary,2024-10-15 06:00:00,5.786352625491045e-08
NLD,ccgt,monetary,2024-10-15 07:00:00,7.228562135389339e-08
NLD,ccgt,monetary,2024-10-15 08:00:00,7.154834772317785e-08
NLD,ccgt,monetary,2024-10-15 09:00:00,7.209598843101188e-08
NLD,ccgt,monetary,2024-10-15 10:00:00,5.79181998860024e-08
NLD,ccgt,monetary,2024-10-15 11:00:00,5.822463093711555e-08
NLD,ccgt,monetary,2024-10-15 12:00:00,5.762636899687995e-08
NLD,ccgt,monetary,2024-10-15 13:00:00,5.751813108953926e-08
NLD,ccgt,monetary,2024-10-15 14:00:00,5.760248183137676e-08
NLD,ccgt,monetary,2024-10-15 15:00:00,5.766978328561577e-08
NLD,ccgt,monetary,2024-10-15 16:00:00,5.7632562038258185e-08
NLD,ccgt,monetary,2024-10-15 17:00:00,5.744418534004939e-08
NLD,ccgt,monetary,2024-10-15 18:00:00,7.069565234785446e-08
NLD,ccgt,monetary,2024-10-15 19:00:00,7.277853451096622e-08
NLD,ccgt,monetary,2024-10-15 20:00:00,27.491379933371
NLD,ccgt,monetary,2024-10-15 21:00:00,7.49708164699986e-08
NLD,ccgt,monetary,2024-10-15 22:00:00,7.1706691639038e-08
NLD,ccgt,monetary,2024-10-15 23:00:00,5.825621882150483e-08
NLD,ccgt,monetary,2024-10-16 00:00:00,5.784487832773549e-08
NLD,ccgt,monetary,2024-10-16 01:00:00,5.8054314065851795e-08
NLD,ccgt,monetary,2024-10-16 02:00:00,5.764179730101747e-08
NLD,ccgt,monetary,2024-10-16 03:00:00,5.760654983590774e-08
NLD,ccgt,monetary,2024-10-16 04:00:00,5.7564162356863203e-08
NLD,ccgt,monetary,2024-10-16 05:00:00,5.7593319291426626e-08
NLD,ccgt,monetary,2024-10-16 06:00:00,5.809366721161529e-08
NLD,ccgt,monetary,2024-10-16 07:00:00,5.7852903484505884e-08
NLD,ccgt,monetary,2024-10-16 08:00:00,5.7746741164891296e-08
NLD,ccgt,monetary,2024-10-16 09:00:00,5.771450319198877e-08
NLD,ccgt,monetary,2024-10-16 10:00:00,5.775022586993955e-08
NLD,ccgt,monetary,2024-10-16 11:00:00,5.7365727992644913e-08
NLD,ccgt,monetary,2024-10-16 12:00:00,5.689387813639666e-08
NLD,ccgt,monetary,2024-10-16 13:00:00,5.642168711935405e-08
