timesteps,nodes,techs,source_use_equals
2024-10-04 05:00:00,NLD,solar_pv,0.0004158119779716
2024-10-04 05:00:00,NLD,wind_onshore,0.1714836143541771
2024-10-04 06:00:00,NLD,solar_pv,0.000241856422646
2024-10-04 06:00:00,NLD,wind_onshore,0.1748060320018418
2024-10-04 07:00:00,NLD,solar_pv,0.000214049400791
2024-10-04 07:00:00,NLD,wind_onshore,0.1878393606902025
2024-10-04 08:00:00,NLD,solar_pv,0.0294683297421319
2024-10-04 08:00:00,NLD,wind_onshore,0.1775699623757217
2024-10-04 09:00:00,NLD,solar_pv,0.1680158461224078
2024-10-04 09:00:00,NLD,wind_onshore,0.1623279189108953
2024-10-04 10:00:00,NLD,solar_pv,0.3149410361801688
2024-10-04 10:00:00,NLD,wind_onshore,0.1477624762954929
2024-10-04 11:00:00,NLD,solar_pv,0.4044460194571552
2024-10-04 11:00:00,NLD,wind_onshore,0.147239977461785
2024-10-04 12:00:00,NLD,solar_pv,0.4326332861691753
2024-10-04 12:00:00,NLD,wind_onshore,0.1484883643435744
2024-10-04 13:00:00,NLD,solar_pv,0.4353635477103826
2024-10-04 13:00:00,NLD,wind_onshore,0.1612022804796035
2024-10-04 14:00:00,NLD,solar_pv,0.4353777745587737
2024-10-04 14:00:00,NLD,wind_onshore,0.1680148194822269
2024-10-04 15:00:00,NLD,solar_pv,0.4142774183702239
2024-10-04 15:00:00,NLD,wind_onshore,0.1674402464662865
2024-10-04 16:00:00,NLD,solar_pv,0.3924489062140286
2024-10-04 16:00:00,NLD,wind_onshore,0.1705344646871005
2024-10-04 17:00:00,NLD,solar_pv,0.3366913006702138
2024-10-04 17:00:00,NLD,wind_onshore,0.1687460391510606
2024-10-04 18:00:00,NLD,solar_pv,0.2069708970415915
2024-10-04 18:00:00,NLD,wind_onshore,0.1570162614432939
2024-10-04 19:00:00,NLD,solar_pv,0.0720357068027615
2024-10-04 19:00:00,NLD,wind_onshore,0.1339312826788971
2024-10-04 20:00:00,NLD,solar_pv,0.0117416766470163
2024-10-04 20:00:00,NLD,wind_onshore,0.1328099156028669
2024-10-04 21:00:00,NLD,solar_pv,0.0074587486064155
2024-10-04 21:00:00,NLD,wind_onshore,0.1200560728977964
2024-10-04 22:00:00,NLD,solar_pv,0.0084100074238281
2024-10-04 22:00:00,NLD,wind_onshore,0.1074762046130636
2024-10-04 23:00:00,NLD,solar_pv,0.0067338260134042
2024-10-04 23:00:00,NLD,wind_onshore,0.1018427111291524
2024-10-05 00:00:00,NLD,solar_pv,0.0046276057766177
2024-10-05 00:00:00,NLD,wind_onshore,0.0973891416696455
2024-10-05 01:00:00,NLD,solar_pv,0.0062636933415762
2024-10-05 01:00:00,NLD,wind_onshore,0.0843052837573385
2024-10-05 02:00:00,NLD,solar_pv,0.0046347192008132
2024-10-05 02:00:00,NLD,wind_onshore,0.0767142069517064
2024-10-05 03:00:00,NLD,solar_pv,0.0032385480337202
2024-10-05 03:00:00,NLD,wind_onshore,0.0862874652384385
2024-10-05 04:00:00,NLD,solar_pv,0.0011795350665945
2024-10-05 04:00:00,NLD,wind_onshore,0.0948520778174283
2024-10-05 05:00:00,NLD,solar_pv,0.0011206876482502
2024-10-05 05:00:00,NLD,wind_onshore,0.1045525679630179
2024-10-05 06:00:00,NLD,solar_pv,0.0005671339108571
2024-10-05 06:00:00,NLD,wind_onshore,0.1083491666313244
2024-10-05 07:00:00,NLD,solar_pv,0.0005134598919276
2024-10-05 07:00:00,NLD,wind_onshore,0.1133352317134496
2024-10-05 08:00:00,NLD,solar_pv,0.0271260731570411
2024-10-05 08:00:00,NLD,wind_onshore,0.1282722216500154
2024-10-05 09:00:00,NLD,solar_pv,0.1595625114784799
2024-10-05 09:00:00,NLD,wind_onshore,0.1417131769795157
2024-10-05 10:00:00,NLD,solar_pv,0.2978209641664489
2024-10-05 10:00:00,NLD,wind_onshore,0.1488611839833266
2024-10-05 11:00:00,NLD,solar_pv,0.3621269655684402
2024-10-05 11:00:00,NLD,wind_onshore,0.1629517488321933
2024-10-05 12:00:00,NLD,solar_pv,0.3950039188500567
2024-10-05 12:00:00,NLD,wind_onshore,0.1781145147316316
2024-10-05 13:00:00,NLD,solar_pv,0.3991801455277255
2024-10-05 13:00:00,NLD,wind_onshore,0.2001630688324356
2024-10-05 14:00:00,NLD,solar_pv,0.3942033352906027
2024-10-05 14:00:00,NLD,wind_onshore,0.2062295444493587
2024-10-05 15:00:00,NLD,solar_pv,0.36512042380488
2024-10-05 15:00:00,NLD,wind_onshore,0.1756519421034455
2024-10-05 16:00:00,NLD,solar_pv,0.3328765652766604
2024-10-05 16:00:00,NLD,wind_onshore,0.1891545140045925
2024-10-05 17:00:00,NLD,solar_pv,0.2896638066390234
2024-10-05 17:00:00,NLD,wind_onshore,0.2325585115084245
2024-10-05 18:00:00,NLD,solar_pv,0.1771436627150517
2024-10-05 18:00:00,NLD,wind_onshore,0.3084792763536561
2024-10-05 19:00:00,NLD,solar_pv,0.0508603363226959
2024-10-05 19:00:00,NLD,wind_onshore,0.3171986271076563
2024-10-05 20:00:00,NLD,solar_pv,0.0089764946597584
2024-10-05 20:00:00,NLD,wind_onshore,0.3209075569665501
2024-10-05 21:00:00,NLD,solar_pv,0.0054870367544161
2024-10-05 21:00:00,NLD,wind_onshore,0.3275215536827565
2024-10-05 22:00:00,NLD,solar_pv,0.0049328363420962
2024-10-05 22:00:00,NLD,wind_onshore,0.3233662823456708
2024-10-05 23:00:00,NLD,solar_pv,0.0049224895432664
2024-10-05 23:00:00,NLD,wind_onshore,0.3162134890005029
2024-10-06 00:00:00,NLD,solar_pv,0.0037642947492582
2024-10-06 00:00:00,NLD,wind_onshore,0.3344045246072474
2024-10-06 01:00:00,NLD,solar_pv,0.0031344333704955
2024-10-06 01:00:00,NLD,wind_onshore,0.3179999151787608
2024-10-06 02:00:00,NLD,solar_pv,0.0027231481170119
2024-10-06 02:00:00,NLD,wind_onshore,0.304739871435236
2024-10-06 03:00:00,NLD,solar_pv,0.0012571360578179
2024-10-06 03:00:00,NLD,wind_onshore,0.3152124469109922
2024-10-06 04:00:00,NLD,solar_pv,0.0006324480784701
2024-10-06 04:00:00,NLD,wind_onshore,0.3024558778089462
2024-10-06 05:00:00,NLD,solar_pv,0.000525746715538
2024-10-06 05:00:00,NLD,wind_onshore,0.2889489436726385
2024-10-06 06:00:00,NLD,solar_pv,0.0003925316806046
2024-10-06 06:00:00,NLD,wind_onshore,0.2960921946283921
2024-10-06 07:00:00,NLD,solar_pv,0.0002205161500596
2024-10-06 07:00:00,NLD,wind_onshore,0.2992346397823729
