nodes,techs,carriers,timesteps,flow_out_inc_eff
NLD,ccgt,power,2024-10-10 07:00:00,2.540533085413664e-06
NLD,ccgt,power,2024-10-10 08:00:00,2.531341479425055e-06
NLD,ccgt,power,2024-10-10 09:00:00,2.0398744128093977e-06
NLD,ccgt,power,2024-10-10 10:00:00,2.069166294564212e-06
NLD,ccgt,power,2024-10-10 11:00:00,2.0183257523184908e-06
NLD,ccgt,power,2024-10-10 12:00:00,1.996104026059891e-06
NLD,ccgt,power,2024-10-10 13:00:00,2.006483808637553e-06
NLD,ccgt,power,2024-10-10 14:00:00,2.0065526656209752e-06
NLD,ccgt,power,2024-10-10 15:00:00,1.996533457826635e-06
NLD,ccgt,power,2024-10-10 16:00:00,2.0102457259908168e-06
NLD,ccgt,power,2024-10-10 17:00:00,2.0723070539769683e-06
NLD,ccgt,power,2024-10-10 18:00:00,2.0264600983079027e-06
NLD,ccgt,power,2024-10-10 19:00:00,3.8323980630385665e-06
NLD,ccgt,power,2024-10-10 20:00:00,5552.065803840203
NLD,ccgt,power,2024-10-10 21:00:00,5468.890004156107
NLD,ccgt,power,2024-10-10 22:00:00,1584.3144737647553
NLD,ccgt,power,2024-10-10 23:00:00,2.6179743194433704e-06
NLD,ccgt,power,2024-10-11 00:00:00,2.598012108558977e-06
NLD,ccgt,power,2024-10-11 01:00:00,2.517351749306465e-06
NLD,ccgt,power,2024-10-11 02:00:00,2.521583901759141e-06
NLD,ccgt,power,2024-10-11 03:00:00,2.5366235122371516e-06
NLD,ccgt,power,2024-10-11 04:00:00,2.545538351494692e-06
NLD,ccgt,power,2024-10-11 05:00:00,2.53137557308337e-06
NLD,ccgt,power,2024-10-11 06:00:00,2.591829497623825e-06
NLD,ccgt,power,2024-10-11 07:00:00,558.9723661972141
NLD,ccgt,power,2024-10-11 08:00:00,1437.4000096416287
NLD,ccgt,power,2024-10-11 09:00:00,3.7435564592262033e-06
NLD,ccgt,power,2024-10-11 10:00:00,2.0113710743178443e-06
NLD,ccgt,power,2024-10-11 11:00:00,2.0502095683622593e-06
NLD,ccgt,power,2024-10-11 12:00:00,2.057149300047826e-06
NLD,ccgt,power,2024-10-11 13:00:00,2.043582972972871e-06
NLD,ccgt,power,2024-10-11 14:00:00,2.0364267914514766e-06
NLD,ccgt,power,2024-10-11 15:00:00,2.0264633889231246e-06
NLD,ccgt,power,2024-10-11 16:00:00,2.0321863949434623e-06
NLD,ccgt,power,2024-10-11 17:00:00,2.0605763816981267e-06
NLD,ccgt,power,2024-10-11 18:00:00,2.051543100681308e-06
NLD,ccgt,power,2024-10-11 19:00:00,2.589821782880936e-06
NLD,ccgt,power,2024-10-11 20:00:00,2.548350207030544e-06
NLD,ccgt,power,2024-10-11 21:00:00,2.592760707468531e-06
NLD,ccgt,power,2024-10-11 22:00:00,2.0508487702399462e-06
NLD,ccgt,power,2024-10-11 23:00:00,2.060560694377844e-06
NLD,ccgt,power,2024-10-12 00:00:00,2.0417654526514756e-06
NLD,ccgt,power,2024-10-12 01:00:00,2.0388274498268895e-06
NLD,ccgt,power,2024-10-12 02:00:00,2.0407284512371177e-06
NLD,ccgt,power,2024-10-12 03:00:00,2.040882923911718e-06
NLD,ccgt,power,2024-10-12 04:00:00,2.0410896125256913e-06
NLD,ccgt,power,2024-10-12 05:00:00,2.0425727080869905e-06
NLD,ccgt,power,2024-10-12 06:00:00,2.0454158704642517e-06
NLD,ccgt,power,2024-10-12 07:00:00,2.0491728619827085e-06
NLD,ccgt,power,2024-10-12 08:00:00,2.044278541130303e-06
NLD,ccgt,power,2024-10-12 09:00:00,2.0365058003094425e-06
NLD,ccgt,power,2024-10-12 10:00:00,2.0481452339100306e-06
NLD,ccgt,power,2024-10-12 11:00:00,2.0476434282324657e-06
NLD,ccgt,power,2024-10-12 12:00:00,2.0442613078189424e-06
NLD,ccgt,power,2024-10-12 13:00:00,2.0438499634160493e-06
NLD,ccgt,power,2024-10-12 14:00:00,2.0441010840561165e-06
NLD,ccgt,power,2024-10-12 15:00:00,2.0422096756379888e-06
NLD,ccgt,power,2024-10-12 16:00:00,2.0436215051243446e-06
NLD,ccgt,power,2024-10-12 17:00:00,2.06471738609283e-06
NLD,ccgt,power,2024-10-12 18:00:00,2.0396575289001057e-06
NLD,ccgt,power,2024-10-12 19:00:00,2.509412215813818e-06
NLD,ccgt,power,2024-10-12 20:00:00,2.6326224868252346e-06
NLD,ccgt,power,2024-10-12 21:00:00,2.647606879305635e-06
NLD,ccgt,power,2024-10-12 22:00:00,2.5214813281684913e-06
NLD,ccgt,power,2024-10-12 23:00:00,2.5804299828266436e-06
NLD,ccgt,power,2024-10-13 00:00:00,2.6142228975992955e-06
NLD,ccgt,power,2024-10-13 01:00:00,2.051808500049429e-06
NLD,ccgt,power,2024-10-13 02:00:00,2.0555270212404732e-06
NLD,ccgt,power,2024-10-13 03:00:00,2.056942950702777e-06
NLD,ccgt,power,2024-10-13 04:00:00,2.0595545121010852e-06
NLD,ccgt,power,2024-10-13 05:00:00,2.0603405827064323e-06
NLD,ccgt,power,2024-10-13 06:00:00,2.0589573184379297e-06
NLD,ccgt,power,2024-10-13 07:00:00,2.057240741574219e-06
NLD,ccgt,power,2024-10-13 08:00:00,2.050683482081466e-06
NLD,ccgt,power,2024-10-13 09:00:00,2.055836192067586e-06
NLD,ccgt,power,2024-10-13 10:00:00,2.0351885228857585e-06
NLD,ccgt,power,2024-10-13 11:00:00,2.014655169456709e-06
NLD,ccgt,power,2024-10-13 12:00:00,1.986849315830159e-06
NLD,ccgt,power,2024-10-13 13:00:00,2.0025384278341128e-06
NLD,ccgt,power,2024-10-13 14:00:00,1.9966210245997295e-06
NLD,ccgt,power,2024-10-13 15:00:00,1.9952146616312442e-06
NLD,ccgt,power,2024-10-13 16:00:00,1.9842004758322663e-06
NLD,ccgt,power,2024-10-13 17:00:00,2.0443336331377237e-06
NLD,ccgt,power,2024-10-13 18:00:00,2.0591883985747184e-06
NLD,ccgt,power,2024-10-13 19:00:00,3.6143174040754087e-06
NLD,ccgt,power,2024-10-13 20:00:00,2.8458401983411318e-06
NLD,ccgt,power,2024-10-13 21:00:00,72.08911688474116
NLD,ccgt,power,2024-10-13 22:00:00,2.6388819121608197e-06
NLD,ccgt,power,2024-10-13 23:00:00,2.522703461795734e-06
NLD,ccgt,power,2024-10-14 00:00:00,2.553097080653732e-06
NLD,ccgt,power,2024-10-14 01:00:00,2.617352333040397e-06
NLD,ccgt,power,2024-10-14 02:00:00,2.0433859235992585e-06
NLD,ccgt,power,2024-10-14 03:00:00,2.0665123785961408e-06
NLD,ccgt,power,2024-10-14 04:00:00,2.658597146885881e-06
NLD,ccgt,power,2024-10-14 05:00:00,2.6060228132984412e-06
NLD,ccgt,power,2024-10-14 06:00:00,2.5386791699413192e-06
NLD,ccgt,power,2024-10-14 07:00:00,1247.8215500918684
NLD,ccgt,power,2024-10-14 08:00:00,3503.709429679843
NLD,ccgt,power,2024-10-14 09:00:00,3.709058217767651e-06
NLD,ccgt,power,2024-10-14 10:00:00,1.9706295683460828e-06
NLD,ccgt,power,2024-10-14 11:00:00,2.6689915279852065e-06
NLD,ccgt,power,2024-10-14 12:00:00,2.0302727446773664e-06
NLD,ccgt,power,2024-10-14 13:00:00,2.0497596526486028e-06
NLD,ccgt,power,2024-10-14 14:00:00,2.068895251169597e-06
NLD,ccgt,power,2024-10-14 15:00:00,2.0692539298025814e-06
NLD,ccgt,power,2024-10-14 16:00:00,2.0585636873118574e-06
NLD,ccgt,power,2024-10-14 17:00:00,2.655959686885315e-06
NLD,ccgt,power,2024-10-14 18:00:00,2.521344394761208e-06
NLD,ccgt,power,2024-10-14 19:00:00,2.8147101565052233e-06
NLD,ccgt,power,2024-10-14 20:00:00,1778.6179485590217
NLD,ccgt,power,2024-10-14 21:00:00,4.0011522031309516e-06
NLD,ccgt,power,2024-10-14 22:00:00,1.9409999787878663e-06
NLD,ccgt,power,2024-10-14 23:00:00,2.0624817701378604e-06
NLD,ccgt,power,2024-10-15 00:00:00,2.0507108481561197e-06
NLD,ccgt,power,2024-10-15 01:00:00,2.0505949557137455e-06
NLD,ccgt,power,2024-10-15 02:00:00,2.045634927244231e-06
NLD,ccgt,power,2024-10-15 03:00:00,2.036135547792018e-06
