nodes,techs,timesteps,source_use
NLD,ccgt,2019-01-06 07:00:00,17681.254563670675
NLD,ccgt,2019-01-06 08:00:00,18427.936737273714
NLD,ccgt,2019-01-06 09:00:00,18234.486162278714
NLD,ccgt,2019-01-06 10:00:00,17538.33518566706
NLD,ccgt,2019-01-06 11:00:00,17197.888797801057
NLD,ccgt,2019-01-06 12:00:00,17050.141060161466
NLD,ccgt,2019-01-06 13:00:00,18593.176266237642
NLD,ccgt,2019-01-06 14:00:00,21084.170697709695
NLD,ccgt,2019-01-06 15:00:00,23117.331952216784
NLD,ccgt,2019-01-06 16:00:00,24724.77121000178
NLD,ccgt,2019-01-06 17:00:00,24012.666261828133
NLD,ccgt,2019-01-06 18:00:00,23356.407749503556
NLD,ccgt,2019-01-06 19:00:00,22705.8054410126
NLD,ccgt,2019-01-06 20:00:00,21725.37818640309
NLD,ccgt,2019-01-06 21:00:00,20668.01412654144
NLD,ccgt,2019-01-06 22:00:00,19495.38658985066
NLD,ccgt,2019-01-06 23:00:00,18675.283682578145
NLD,ccgt,2019-01-07 00:00:00,17748.24676044925
NLD,ccgt,2019-01-07 01:00:00,17074.834776428488
NLD,ccgt,2019-01-07 02:00:00,16784.74211146827
NLD,ccgt,2019-01-07 03:00:00,16754.630514099186
NLD,ccgt,2019-01-07 04:00:00,17295.314413042204
NLD,ccgt,2019-01-07 05:00:00,19191.608626618956
NLD,ccgt,2019-01-07 06:00:00,22202.386781914123
NLD,ccgt,2019-01-07 07:00:00,24262.796271160838
NLD,ccgt,2019-01-07 08:00:00,24418.328939636256
NLD,ccgt,2019-01-07 09:00:00,23907.04553345259
NLD,ccgt,2019-01-07 10:00:00,22838.90654855897
NLD,ccgt,2019-01-07 11:00:00,21088.433491380125
NLD,ccgt,2019-01-07 12:00:00,20155.18174130528
NLD,ccgt,2019-01-07 13:00:00,19203.996712335105
NLD,ccgt,2019-01-07 14:00:00,18679.871068016368
NLD,ccgt,2019-01-07 15:00:00,18684.318494119263
NLD,ccgt,2019-01-07 16:00:00,18969.185927251674
NLD,ccgt,2019-01-07 17:00:00,17089.396644429296
NLD,ccgt,2019-01-07 18:00:00,14813.685193288895
NLD,ccgt,2019-01-07 19:00:00,12704.359358313533
NLD,ccgt,2019-01-07 20:00:00,10699.803371055677
NLD,ccgt,2019-01-07 21:00:00,8261.235100552087
NLD,ccgt,2019-01-07 22:00:00,6538.225114925302
NLD,ccgt,2019-01-07 23:00:00,5303.574125010573
NLD,ccgt,2019-01-08 00:00:00,4432.45053642669
NLD,ccgt,2019-01-08 01:00:00,3627.291522967167
NLD,ccgt,2019-01-08 02:00:00,3116.6300553837336
NLD,ccgt,2019-01-08 03:00:00,2995.5033665962333
NLD,ccgt,2019-01-08 04:00:00,3670.188715786384
NLD,ccgt,2019-01-08 05:00:00,5900.985428717314
NLD,ccgt,2019-01-08 06:00:00,9416.71348484365
NLD,ccgt,2019-01-08 07:00:00,11585.071604808994
NLD,ccgt,2019-01-08 08:00:00,11485.794413473312
NLD,ccgt,2019-01-08 09:00:00,9984.270391042939
NLD,ccgt,2019-01-08 10:00:00,8007.110515434229
NLD,ccgt,2019-01-08 11:00:00,5908.742234365435
NLD,ccgt,2019-01-08 12:00:00,5090.76709041699
NLD,ccgt,2019-01-08 13:00:00,7320.992189408695
NLD,ccgt,2019-01-08 14:00:00,10095.530361265619
NLD,ccgt,2019-01-08 15:00:00,12059.994802736623
NLD,ccgt,2019-01-08 16:00:00,13565.848250557994
NLD,ccgt,2019-01-08 17:00:00,12525.934156517815
NLD,ccgt,2019-01-08 18:00:00,11970.26284085577
NLD,ccgt,2019-01-08 19:00:00,11170.716086755234
NLD,ccgt,2019-01-08 20:00:00,9928.940881192348
NLD,ccgt,2019-01-08 21:00:00,8487.711977912935
NLD,ccgt,2019-01-08 22:00:00,7403.435024906789
NLD,ccgt,2019-01-08 23:00:00,6509.428276676189
NLD,ccgt,2019-01-09 00:00:00,6152.440873005639
NLD,ccgt,2019-01-09 01:00:00,6323.343688200621
NLD,ccgt,2019-01-09 02:00:00,6675.835296427781
NLD,ccgt,2019-01-09 03:00:00,7473.62096785586
NLD,ccgt,2019-01-09 04:00:00,8664.658296995054
NLD,ccgt,2019-01-09 05:00:00,11759.509498029262
NLD,ccgt,2019-01-09 06:00:00,15672.409965277573
NLD,ccgt,2019-01-09 07:00:00,18097.322172437965
NLD,ccgt,2019-01-09 08:00:00,15963.214220818996
NLD,ccgt,2019-01-09 09:00:00,10296.573572860347
NLD,ccgt,2019-01-09 10:00:00,5537.366615093535
NLD,ccgt,2019-01-09 11:00:00,1260.2464254929935
NLD,ccgt,2019-01-09 12:00:00,1324.8842891251459
NLD,ccgt,2019-01-09 13:00:00,6193.571214599131
NLD,ccgt,2019-01-09 14:00:00,13346.712766409266
NLD,ccgt,2019-01-09 15:00:00,18469.53483879099
NLD,ccgt,2019-01-09 16:00:00,20577.268775129724
NLD,ccgt,2019-01-09 17:00:00,19168.840777189445
NLD,ccgt,2019-01-09 18:00:00,18374.205145725835
NLD,ccgt,2019-01-09 19:00:00,17635.892758281596
NLD,ccgt,2019-01-09 20:00:00,17015.09129096379
NLD,ccgt,2019-01-09 21:00:00,16369.245635701558
NLD,ccgt,2019-01-09 22:00:00,16467.84563362084
NLD,ccgt,2019-01-09 23:00:00,16390.711242072142
NLD,ccgt,2019-01-10 00:00:00,16247.44806722377
NLD,ccgt,2019-01-10 01:00:00,16462.454023509577
NLD,ccgt,2019-01-10 02:00:00,16785.27751063729
NLD,ccgt,2019-01-10 03:00:00,17291.105484857122
NLD,ccgt,2019-01-10 04:00:00,18679.616026626223
NLD,ccgt,2019-01-10 05:00:00,21626.77954713194
NLD,ccgt,2019-01-10 06:00:00,25787.685734399653
NLD,ccgt,2019-01-10 07:00:00,28552.013934874234
NLD,ccgt,2019-01-10 08:00:00,29058.87696702418
NLD,ccgt,2019-01-10 09:00:00,28293.063294685082
NLD,ccgt,2019-01-10 10:00:00,27192.849739671557
NLD,ccgt,2019-01-10 11:00:00,26080.500105746632
NLD,ccgt,2019-01-10 12:00:00,25740.329884081344
NLD,ccgt,2019-01-10 13:00:00,25952.895502685973
NLD,ccgt,2019-01-10 14:00:00,27181.811232069176
NLD,ccgt,2019-01-10 15:00:00,28619.0001278953
NLD,ccgt,2019-01-10 16:00:00,29453.440883091007
NLD,ccgt,2019-01-10 17:00:00,28050.907260866727
NLD,ccgt,2019-01-10 18:00:00,26964.289635350324
NLD,ccgt,2019-01-10 19:00:00,25357.401512287353
NLD,ccgt,2019-01-10 20:00:00,23363.213684709113
NLD,ccgt,2019-01-10 21:00:00,21313.77538840573
NLD,ccgt,2019-01-10 22:00:00,19924.896662059058
NLD,ccgt,2019-01-10 23:00:00,18632.50291206291
NLD,ccgt,2019-01-11 00:00:00,17457.62392047251
NLD,ccgt,2019-01-11 01:00:00,16587.627017372433
NLD,ccgt,2019-01-11 02:00:00,15610.951488628474
NLD,ccgt,2019-01-11 03:00:00,14829.907549912645
NLD,ccgt,2019-01-11 04:00:00,15371.488304961364
NLD,ccgt,2019-01-11 05:00:00,17789.16360315511
NLD,ccgt,2019-01-11 06:00:00,21464.59896524255
NLD,ccgt,2019-01-11 07:00:00,23846.47195943806
NLD,ccgt,2019-01-11 08:00:00,23228.534134329042
NLD,ccgt,2019-01-11 09:00:00,22158.41553593569
NLD,ccgt,2019-01-11 10:00:00,21563.95676832726
NLD,ccgt,2019-01-11 11:00:00,20139.718949274327
NLD,ccgt,2019-01-11 12:00:00,18952.78894275746
NLD,ccgt,2019-01-11 13:00:00,18202.692382596368
NLD,ccgt,2019-01-11 14:00:00,19136.197412818532
NLD,ccgt,2019-01-11 15:00:00,19865.888097218234
NLD,ccgt,2019-01-11 16:00:00,20975.953218564533
NLD,ccgt,2019-01-11 17:00:00,19944.28639186533
NLD,ccgt,2019-01-11 18:00:00,19005.91256127416
NLD,ccgt,2019-01-11 19:00:00,17727.705402070853
NLD,ccgt,2019-01-11 20:00:00,16393.127395561813
NLD,ccgt,2019-01-11 21:00:00,15315.925203102406
NLD,ccgt,2019-01-11 22:00:00,14848.134636376912
NLD,ccgt,2019-01-11 23:00:00,14521.681983687973
NLD,ccgt,2019-01-12 00:00:00,14013.990010541174
NLD,ccgt,2019-01-12 01:00:00,13311.230995710872
NLD,ccgt,2019-01-12 02:00:00,12552.170930519569
NLD,ccgt,2019-01-12 03:00:00,12246.02457184482
NLD,ccgt,2019-01-12 04:00:00,11721.581378859048
NLD,ccgt,2019-01-12 05:00:00,11682.975406233936
NLD,ccgt,2019-01-12 06:00:00,11835.992265959096
NLD,ccgt,2019-01-12 07:00:00,12194.659659192987
NLD,ccgt,2019-01-12 08:00:00,12258.165652305803
NLD,ccgt,2019-01-12 09:00:00,13027.872033355485
NLD,ccgt,2019-01-12 10:00:00,13583.166832505101
NLD,ccgt,2019-01-12 11:00:00,13754.783685244021
NLD,ccgt,2019-01-12 12:00:00,13292.998370449395
NLD,ccgt,2019-01-12 13:00:00,12826.451291917989
NLD,ccgt,2019-01-12 14:00:00,12583.43936253406
NLD,ccgt,2019-01-12 15:00:00,13703.19139987525
NLD,ccgt,2019-01-12 16:00:00,14779.185890953304
NLD,ccgt,2019-01-12 17:00:00,14075.319177463054
NLD,ccgt,2019-01-12 18:00:00,13351.191018165939
NLD,ccgt,2019-01-12 19:00:00,12848.130945838919
NLD,ccgt,2019-01-12 20:00:00,12190.84177471563
NLD,ccgt,2019-01-12 21:00:00,12303.530554766461
NLD,ccgt,2019-01-12 22:00:00,12615.163574297145
NLD,ccgt,2019-01-12 23:00:00,12699.857975027235
NLD,ccgt,2019-01-13 00:00:00,12268.133388595612
NLD,ccgt,2019-01-13 01:00:00,11850.100354003542
NLD,ccgt,2019-01-13 02:00:00,10836.17289091488
NLD,ccgt,2019-01-13 03:00:00,9623.946464163777
NLD,ccgt,2019-01-13 04:00:00,8859.103576038107
NLD,ccgt,2019-01-13 05:00:00,8378.289854781915
NLD,ccgt,2019-01-13 06:00:00,8537.435147039458
NLD,ccgt,2019-01-13 07:00:00,9438.074165277294
NLD,ccgt,2019-01-13 08:00:00,9501.95383323244
NLD,ccgt,2019-01-13 09:00:00,9073.340818945575
NLD,ccgt,2019-01-13 10:00:00,8828.540092033949
NLD,ccgt,2019-01-13 11:00:00,8803.158320530145
NLD,ccgt,2019-01-13 12:00:00,8282.049851596028
NLD,ccgt,2019-01-13 13:00:00,7722.844886266927
NLD,ccgt,2019-01-13 14:00:00,7729.278569508075
NLD,ccgt,2019-01-13 15:00:00,8355.168478234467
NLD,ccgt,2019-01-13 16:00:00,10047.408607611178
NLD,ccgt,2019-01-13 17:00:00,9989.332144974496
NLD,ccgt,2019-01-13 18:00:00,9437.49665003963
NLD,ccgt,2019-01-13 19:00:00,8577.996206976588
NLD,ccgt,2019-01-13 20:00:00,7482.710485348262
NLD,ccgt,2019-01-13 21:00:00,6600.3609103084045
NLD,ccgt,2019-01-13 22:00:00,5715.594867091887
NLD,ccgt,2019-01-13 23:00:00,5840.818729479875
NLD,ccgt,2019-01-14 00:00:00,6708.771101902256
NLD,ccgt,2019-01-14 01:00:00,8466.847396916466
NLD,ccgt,2019-01-14 02:00:00,10113.629986059403
NLD,ccgt,2019-01-14 03:00:00,11007.325503662676
NLD,ccgt,2019-01-14 04:00:00,12294.855812677437
NLD,ccgt,2019-01-14 05:00:00,15110.194010992685
NLD,ccgt,2019-01-14 06:00:00,18520.757226991518
NLD,ccgt,2019-01-14 07:00:00,20570.58216718108
NLD,ccgt,2019-01-14 08:00:00,19544.907944680755
NLD,ccgt,2019-01-14 09:00:00,15624.589172795198
NLD,ccgt,2019-01-14 10:00:00,9756.327770744716
NLD,ccgt,2019-01-14 11:00:00,5440.89724519443
NLD,ccgt,2019-01-14 12:00:00,6072.46779067707
NLD,ccgt,2019-01-14 13:00:00,10070.0295103626
NLD,ccgt,2019-01-14 14:00:00,15384.434328480591
NLD,ccgt,2019-01-14 15:00:00,20075.832128888258
NLD,ccgt,2019-01-14 16:00:00,22497.60141953789
NLD,ccgt,2019-01-14 17:00:00,22659.958569924613
