nodes,techs,carriers,timesteps,flow_in
NLD,curtailment,power,2024-10-06 09:00:00,8.886309809044788e-06
NLD,curtailment,power,2024-10-06 10:00:00,8.886312830910098e-06
NLD,curtailment,power,2024-10-06 11:00:00,8.886315953722437e-06
NLD,curtailment,power,2024-10-06 12:00:00,8.886314090449012e-06
NLD,curtailment,power,2024-10-06 13:00:00,8.886317986048133e-06
NLD,curtailment,power,2024-10-06 14:00:00,8.886319670807236e-06
NLD,curtailment,power,2024-10-06 15:00:00,8.88631232029034e-06
NLD,curtailment,power,2024-10-06 16:00:00,8.886312006121076e-06
NLD,curtailment,power,2024-10-06 17:00:00,8.886311467401183e-06
NLD,curtailment,power,2024-10-06 18:00:00,8.886308376979384e-06
NLD,curtailment,power,2024-10-06 19:00:00,8.886289357431729e-06
NLD,curtailment,power,2024-10-06 20:00:00,8.444883359514689e-06
NLD,curtailment,power,2024-10-06 21:00:00,8.444913499546652e-06
NLD,curtailment,power,2024-10-06 22:00:00,8.88626658441128e-06
NLD,curtailment,power,2024-10-06 23:00:00,8.886300212803885e-06
NLD,curtailment,power,2024-10-07 00:00:00,8.886305263368453e-06
NLD,curtailment,power,2024-10-07 01:00:00,8.886306055408497e-06
NLD,curtailment,power,2024-10-07 02:00:00,8.886306415328924e-06
NLD,curtailment,power,2024-10-07 03:00:00,8.886306792517656e-06
NLD,curtailment,power,2024-10-07 04:00:00,8.886306195980513e-06
NLD,curtailment,power,2024-10-07 05:00:00,8.886305629701718e-06
NLD,curtailment,power,2024-10-07 06:00:00,8.886301319507156e-06
NLD,curtailment,power,2024-10-07 07:00:00,8.444969884123348e-06
NLD,curtailment,power,2024-10-07 08:00:00,8.444877703646554e-06
NLD,curtailment,power,2024-10-07 09:00:00,8.8862868670124e-06
NLD,curtailment,power,2024-10-07 10:00:00,8.886305865023463e-06
NLD,curtailment,power,2024-10-07 11:00:00,8.886308102559574e-06
NLD,curtailment,power,2024-10-07 12:00:00,8.88630916813949e-06
NLD,curtailment,power,2024-10-07 13:00:00,8.886308772723586e-06
NLD,curtailment,power,2024-10-07 14:00:00,8.886309050325746e-06
NLD,curtailment,power,2024-10-07 15:00:00,8.886309113014315e-06
NLD,curtailment,power,2024-10-07 16:00:00,8.886309289155101e-06
NLD,curtailment,power,2024-10-07 17:00:00,8.886309230710099e-06
NLD,curtailment,power,2024-10-07 18:00:00,8.886306950253026e-06
NLD,curtailment,power,2024-10-07 19:00:00,8.886277233653185e-06
NLD,curtailment,power,2024-10-07 20:00:00,8.444892794865627e-06
NLD,curtailment,power,2024-10-07 21:00:00,8.886074175806606e-06
NLD,curtailment,power,2024-10-07 22:00:00,8.886303193461273e-06
NLD,curtailment,power,2024-10-07 23:00:00,8.88630627329844e-06
NLD,curtailment,power,2024-10-08 00:00:00,8.886306791496771e-06
NLD,curtailment,power,2024-10-08 01:00:00,8.886308305173108e-06
NLD,curtailment,power,2024-10-08 02:00:00,8.886309828072102e-06
NLD,curtailment,power,2024-10-08 03:00:00,8.886309471982812e-06
NLD,curtailment,power,2024-10-08 04:00:00,8.886309414660176e-06
NLD,curtailment,power,2024-10-08 05:00:00,8.88631000020134e-06
NLD,curtailment,power,2024-10-08 06:00:00,8.886308798694998e-06
NLD,curtailment,power,2024-10-08 07:00:00,8.886303370974225e-06
NLD,curtailment,power,2024-10-08 08:00:00,8.886299601112198e-06
NLD,curtailment,power,2024-10-08 09:00:00,8.886305927815683e-06
NLD,curtailment,power,2024-10-08 10:00:00,8.886311367148044e-06
NLD,curtailment,power,2024-10-08 11:00:00,8.886314615857071e-06
NLD,curtailment,power,2024-10-08 12:00:00,8.886315280832958e-06
NLD,curtailment,power,2024-10-08 13:00:00,8.886311817953236e-06
NLD,curtailment,power,2024-10-08 14:00:00,8.886314366594655e-06
NLD,curtailment,power,2024-10-08 15:00:00,8.886310477160524e-06
NLD,curtailment,power,2024-10-08 16:00:00,8.886310042874237e-06
NLD,curtailment,power,2024-10-08 17:00:00,8.88631182634778e-06
NLD,curtailment,power,2024-10-08 18:00:00,8.886304942063404e-06
NLD,curtailment,power,2024-10-08 19:00:00,8.886282587854642e-06
NLD,curtailment,power,2024-10-08 20:00:00,8.444946179289245e-06
NLD,curtailment,power,2024-10-08 21:00:00,8.886022921658979e-06
NLD,curtailment,power,2024-10-08 22:00:00,8.88630061827685e-06
NLD,curtailment,power,2024-10-08 23:00:00,8.88630610831366e-06
NLD,curtailment,power,2024-10-09 00:00:00,8.88630730593162e-06
NLD,curtailment,power,2024-10-09 01:00:00,8.88630701358301e-06
NLD,curtailment,power,2024-10-09 02:00:00,8.886306984909331e-06
NLD,curtailment,power,2024-10-09 03:00:00,8.886306368205595e-06
NLD,curtailment,power,2024-10-09 04:00:00,8.886306580501921e-06
NLD,curtailment,power,2024-10-09 05:00:00,8.886306412077185e-06
NLD,curtailment,power,2024-10-09 06:00:00,8.88630656793385e-06
NLD,curtailment,power,2024-10-09 07:00:00,8.886300179029687e-06
NLD,curtailment,power,2024-10-09 08:00:00,8.886290742680415e-06
NLD,curtailment,power,2024-10-09 09:00:00,8.886303936019198e-06
NLD,curtailment,power,2024-10-09 10:00:00,8.88630753366048e-06
NLD,curtailment,power,2024-10-09 11:00:00,8.886309429661197e-06
NLD,curtailment,power,2024-10-09 12:00:00,8.886310461168976e-06
NLD,curtailment,power,2024-10-09 13:00:00,8.886311084321547e-06
NLD,curtailment,power,2024-10-09 14:00:00,8.886312220669724e-06
NLD,curtailment,power,2024-10-09 15:00:00,8.886311372654707e-06
NLD,curtailment,power,2024-10-09 16:00:00,8.886311727918485e-06
NLD,curtailment,power,2024-10-09 17:00:00,8.886310937556569e-06
NLD,curtailment,power,2024-10-09 18:00:00,8.886308478432952e-06
NLD,curtailment,power,2024-10-09 19:00:00,8.886304845621886e-06
NLD,curtailment,power,2024-10-09 20:00:00,8.886292073544654e-06
NLD,curtailment,power,2024-10-09 21:00:00,8.886286477004061e-06
NLD,curtailment,power,2024-10-09 22:00:00,8.88630291053438e-06
NLD,curtailment,power,2024-10-09 23:00:00,8.88630628803665e-06
NLD,curtailment,power,2024-10-10 00:00:00,8.886306852631462e-06
NLD,curtailment,power,2024-10-10 01:00:00,8.886306749655674e-06
NLD,curtailment,power,2024-10-10 02:00:00,8.88630702973502e-06
NLD,curtailment,power,2024-10-10 03:00:00,8.886306797687999e-06
NLD,curtailment,power,2024-10-10 04:00:00,8.886306700810632e-06
NLD,curtailment,power,2024-10-10 05:00:00,8.886306060930556e-06
NLD,curtailment,power,2024-10-10 06:00:00,8.886293930029238e-06
NLD,curtailment,power,2024-10-10 07:00:00,8.444881138169186e-06
NLD,curtailment,power,2024-10-10 08:00:00,8.444732308318399e-06
NLD,curtailment,power,2024-10-10 09:00:00,8.885493365407698e-06
NLD,curtailment,power,2024-10-10 10:00:00,8.886306498225287e-06
NLD,curtailment,power,2024-10-10 11:00:00,8.886309325053902e-06
NLD,curtailment,power,2024-10-10 12:00:00,8.886310346192371e-06
NLD,curtailment,power,2024-10-10 13:00:00,8.886310489163076e-06
NLD,curtailment,power,2024-10-10 14:00:00,8.886310495483541e-06
NLD,curtailment,power,2024-10-10 15:00:00,8.886310178786352e-06
NLD,curtailment,power,2024-10-10 16:00:00,8.886310038929042e-06
NLD,curtailment,power,2024-10-10 17:00:00,8.886306272846544e-06
NLD,curtailment,power,2024-10-10 18:00:00,8.886295126341384e-06
NLD,curtailment,power,2024-10-10 19:00:00,8.045150842405334e-06
NLD,curtailment,power,2024-10-10 20:00:00,2.154108295323806e-06
NLD,curtailment,power,2024-10-10 21:00:00,2.1541083031731043e-06
NLD,curtailment,power,2024-10-10 22:00:00,2.154109079751938e-06
NLD,curtailment,power,2024-10-10 23:00:00,8.44485604926861e-06
NLD,curtailment,power,2024-10-11 00:00:00,8.444869277937639e-06
NLD,curtailment,power,2024-10-11 01:00:00,8.444873751723998e-06
NLD,curtailment,power,2024-10-11 02:00:00,8.444876253571251e-06
NLD,curtailment,power,2024-10-11 03:00:00,8.444878513829204e-06
NLD,curtailment,power,2024-10-11 04:00:00,8.444882379689093e-06
NLD,curtailment,power,2024-10-11 05:00:00,8.44489200046896e-06
NLD,curtailment,power,2024-10-11 06:00:00,8.444882067857803e-06
NLD,curtailment,power,2024-10-11 07:00:00,2.1541109857801163e-06
NLD,curtailment,power,2024-10-11 08:00:00,2.1541091634052372e-06
NLD,curtailment,power,2024-10-11 09:00:00,8.045293952052297e-06
NLD,curtailment,power,2024-10-11 10:00:00,8.886212961963652e-06
NLD,curtailment,power,2024-10-11 11:00:00,8.886295351208818e-06
NLD,curtailment,power,2024-10-11 12:00:00,8.886304270225819e-06
NLD,curtailment,power,2024-10-11 13:00:00,8.886306704801363e-06
NLD,curtailment,power,2024-10-11 14:00:00,8.886307367357744e-06
NLD,curtailment,power,2024-10-11 15:00:00,8.886309074924124e-06
NLD,curtailment,power,2024-10-11 16:00:00,8.886308358119037e-06
NLD,curtailment,power,2024-10-11 17:00:00,8.886306026212668e-06
NLD,curtailment,power,2024-10-11 18:00:00,8.886293166443862e-06
NLD,curtailment,power,2024-10-11 19:00:00,8.444923532635595e-06
NLD,curtailment,power,2024-10-11 20:00:00,8.444863862664374e-06
NLD,curtailment,power,2024-10-11 21:00:00,8.444928472915551e-06
NLD,curtailment,power,2024-10-11 22:00:00,8.886293140086474e-06
NLD,curtailment,power,2024-10-11 23:00:00,8.8863052260745e-06
NLD,curtailment,power,2024-10-12 00:00:00,8.886307077069985e-06
NLD,curtailment,power,2024-10-12 01:00:00,8.886307816352319e-06
NLD,curtailment,power,2024-10-12 02:00:00,8.886307365046225e-06
NLD,curtailment,power,2024-10-12 03:00:00,8.886307795916409e-06
NLD,curtailment,power,2024-10-12 04:00:00,8.886307733351438e-06
NLD,curtailment,power,2024-10-12 05:00:00,8.886307403229224e-06
