nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-10-12 23:00:00,1.6800076373474793e-05
NLD,curtailment,power,2024-10-13 00:00:00,1.6799389230954392e-05
NLD,curtailment,power,2024-10-13 01:00:00,1.7677224233246785e-05
NLD,curtailment,power,2024-10-13 02:00:00,1.767741698338555e-05
NLD,curtailment,power,2024-10-13 03:00:00,1.767742218922435e-05
NLD,curtailment,power,2024-10-13 04:00:00,1.7677427556996115e-05
NLD,curtailment,power,2024-10-13 05:00:00,1.767742883433199e-05
NLD,curtailment,power,2024-10-13 06:00:00,1.7677424818724266e-05
NLD,curtailment,power,2024-10-13 07:00:00,1.7677422927004412e-05
NLD,curtailment,power,2024-10-13 08:00:00,1.7677432149207275e-05
NLD,curtailment,power,2024-10-13 09:00:00,1.7677452348918102e-05
NLD,curtailment,power,2024-10-13 10:00:00,1.767746113137507e-05
NLD,curtailment,power,2024-10-13 11:00:00,1.7677464298976667e-05
NLD,curtailment,power,2024-10-13 12:00:00,1.7677468112517296e-05
NLD,curtailment,power,2024-10-13 13:00:00,1.767746786867936e-05
NLD,curtailment,power,2024-10-13 14:00:00,1.767746947211853e-05
NLD,curtailment,power,2024-10-13 15:00:00,1.7677469649363467e-05
NLD,curtailment,power,2024-10-13 16:00:00,1.76774695605157e-05
NLD,curtailment,power,2024-10-13 17:00:00,1.7677463346337224e-05
NLD,curtailment,power,2024-10-13 18:00:00,1.767745473897804e-05
NLD,curtailment,power,2024-10-13 19:00:00,1.7677297329079557e-05
NLD,curtailment,power,2024-10-13 20:00:00,4.285151295943957e-06
NLD,curtailment,power,2024-10-13 21:00:00,4.285151244271912e-06
NLD,curtailment,power,2024-10-13 22:00:00,1.6003925853736237e-05
NLD,curtailment,power,2024-10-13 23:00:00,1.7677090475611175e-05
NLD,curtailment,power,2024-10-14 00:00:00,1.6799742269822063e-05
NLD,curtailment,power,2024-10-14 01:00:00,1.6799465724900552e-05
NLD,curtailment,power,2024-10-14 02:00:00,1.767699237524784e-05
NLD,curtailment,power,2024-10-14 03:00:00,1.7677175324925815e-05
NLD,curtailment,power,2024-10-14 04:00:00,1.7677346008005898e-05
NLD,curtailment,power,2024-10-14 05:00:00,1.76774111873188e-05
NLD,curtailment,power,2024-10-14 06:00:00,1.7677186244822313e-05
NLD,curtailment,power,2024-10-14 07:00:00,4.285150781957047e-06
NLD,curtailment,power,2024-10-14 08:00:00,4.285150281350058e-06
NLD,curtailment,power,2024-10-14 09:00:00,4.285157200775106e-06
NLD,curtailment,power,2024-10-14 10:00:00,1.7677427837202095e-05
NLD,curtailment,power,2024-10-14 11:00:00,1.7677442418593745e-05
NLD,curtailment,power,2024-10-14 12:00:00,1.767741514867912e-05
NLD,curtailment,power,2024-10-14 13:00:00,1.7677391484964035e-05
NLD,curtailment,power,2024-10-14 14:00:00,1.7677439436788837e-05
NLD,curtailment,power,2024-10-14 15:00:00,1.7677442029175646e-05
NLD,curtailment,power,2024-10-14 16:00:00,1.7677442160995115e-05
NLD,curtailment,power,2024-10-14 17:00:00,1.767743890945415e-05
NLD,curtailment,power,2024-10-14 18:00:00,1.7677260308218354e-05
NLD,curtailment,power,2024-10-14 19:00:00,4.285151409069829e-06
NLD,curtailment,power,2024-10-14 20:00:00,4.285150634794925e-06
NLD,curtailment,power,2024-10-14 21:00:00,4.285151783888928e-06
NLD,curtailment,power,2024-10-14 22:00:00,1.7677410609446415e-05
NLD,curtailment,power,2024-10-14 23:00:00,1.767744600102714e-05
NLD,curtailment,power,2024-10-15 00:00:00,1.767743761443624e-05
NLD,curtailment,power,2024-10-15 01:00:00,1.767744257680356e-05
NLD,curtailment,power,2024-10-15 02:00:00,1.7677449803553142e-05
NLD,curtailment,power,2024-10-15 03:00:00,1.7677451646273996e-05
NLD,curtailment,power,2024-10-15 04:00:00,1.7677452756486613e-05
NLD,curtailment,power,2024-10-15 05:00:00,1.7677449477537886e-05
NLD,curtailment,power,2024-10-15 06:00:00,1.7677424735598486e-05
NLD,curtailment,power,2024-10-15 07:00:00,1.679935120519043e-05
NLD,curtailment,power,2024-10-15 08:00:00,1.6798949865549223e-05
NLD,curtailment,power,2024-10-15 09:00:00,1.6798783114441076e-05
NLD,curtailment,power,2024-10-15 10:00:00,1.7677420394915724e-05
NLD,curtailment,power,2024-10-15 11:00:00,1.767745340514699e-05
NLD,curtailment,power,2024-10-15 12:00:00,1.7677456173386622e-05
NLD,curtailment,power,2024-10-15 13:00:00,1.7677455387039506e-05
NLD,curtailment,power,2024-10-15 14:00:00,1.7677456765408713e-05
NLD,curtailment,power,2024-10-15 15:00:00,1.767745337252595e-05
NLD,curtailment,power,2024-10-15 16:00:00,1.7677449548197943e-05
NLD,curtailment,power,2024-10-15 17:00:00,1.767744930304205e-05
NLD,curtailment,power,2024-10-15 18:00:00,1.7677415713682892e-05
NLD,curtailment,power,2024-10-15 19:00:00,1.4612461231009117e-05
NLD,curtailment,power,2024-10-15 20:00:00,4.285150906429853e-06
NLD,curtailment,power,2024-10-15 21:00:00,4.285152713545779e-06
NLD,curtailment,power,2024-10-15 22:00:00,1.7677407579410123e-05
NLD,curtailment,power,2024-10-15 23:00:00,1.7677444985072892e-05
NLD,curtailment,power,2024-10-16 00:00:00,1.7677446066540273e-05
NLD,curtailment,power,2024-10-16 01:00:00,1.7677452945756653e-05
NLD,curtailment,power,2024-10-16 02:00:00,1.767745583890895e-05
NLD,curtailment,power,2024-10-16 03:00:00,1.7677457440954704e-05
NLD,curtailment,power,2024-10-16 04:00:00,1.767745843166916e-05
NLD,curtailment,power,2024-10-16 05:00:00,1.767745830053881e-05
NLD,curtailment,power,2024-10-16 06:00:00,1.7677455503215672e-05
NLD,curtailment,power,2024-10-16 07:00:00,1.767744102736113e-05
NLD,curtailment,power,2024-10-16 08:00:00,1.767742881565639e-05
NLD,curtailment,power,2024-10-16 09:00:00,1.767744721063117e-05
NLD,curtailment,power,2024-10-16 10:00:00,1.7677456089177507e-05
NLD,curtailment,power,2024-10-16 11:00:00,1.767746141503228e-05
NLD,curtailment,power,2024-10-16 12:00:00,1.7677464349042955e-05
NLD,curtailment,power,2024-10-16 13:00:00,1.7677465741678527e-05
NLD,curtailment,power,2024-10-16 14:00:00,1.7677467909622303e-05
NLD,curtailment,power,2024-10-16 15:00:00,1.7677469342136567e-05
NLD,curtailment,power,2024-10-16 16:00:00,1.7677466833848285e-05
NLD,curtailment,power,2024-10-16 17:00:00,1.7677462807836556e-05
NLD,curtailment,power,2024-10-16 18:00:00,1.767745378524659e-05
NLD,curtailment,power,2024-10-16 19:00:00,4.285154524710062e-06
NLD,curtailment,power,2024-10-16 20:00:00,4.285150379751868e-06
NLD,curtailment,power,2024-10-16 21:00:00,4.285150961818652e-06
NLD,curtailment,power,2024-10-16 22:00:00,1.528129721725755e-05
NLD,curtailment,power,2024-10-16 23:00:00,1.767734467929792e-05
NLD,curtailment,power,2024-10-17 00:00:00,1.7677351932959568e-05
NLD,curtailment,power,2024-10-17 01:00:00,1.7677375067618253e-05
NLD,curtailment,power,2024-10-17 02:00:00,1.767741079268222e-05
NLD,curtailment,power,2024-10-17 03:00:00,1.767742172555098e-05
NLD,curtailment,power,2024-10-17 04:00:00,1.767743369551723e-05
NLD,curtailment,power,2024-10-17 05:00:00,1.767744164330202e-05
