nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-01-06 00:00:00,0.00010644006510252511
NLD,ccgt,power,2024-01-06 01:00:00,0.00010644006893136514
NLD,ccgt,power,2024-01-06 02:00:00,0.00010644006845964178
NLD,ccgt,power,2024-01-06 03:00:00,0.00010644006829332343
NLD,ccgt,power,2024-01-06 04:00:00,0.0001064400682442776
NLD,ccgt,power,2024-01-06 05:00:00,0.0001064400682120499
NLD,ccgt,power,2024-01-06 06:00:00,0.00010644006814270954
NLD,ccgt,power,2024-01-06 07:00:00,0.00010644006793289994
NLD,ccgt,power,2024-01-06 08:00:00,0.00010644006739676803
NLD,ccgt,power,2024-01-06 09:00:00,0.00010644006715334817
NLD,ccgt,power,2024-01-06 10:00:00,0.00010643998856453042
NLD,ccgt,power,2024-01-06 11:00:00,0.00010644006802596785
NLD,ccgt,power,2024-01-06 12:00:00,0.00010644006223630223
NLD,ccgt,power,2024-01-06 13:00:00,0.00010644007184878491
NLD,ccgt,power,2024-01-06 14:00:00,0.00010643999198679463
NLD,ccgt,power,2024-01-06 15:00:00,0.00010644006780591818
NLD,ccgt,power,2024-01-06 16:00:00,0.00010644006476892565
NLD,ccgt,power,2024-01-06 17:00:00,0.00010644003744207653
NLD,ccgt,power,2024-01-06 18:00:00,0.00012573580011824084
NLD,ccgt,power,2024-01-06 19:00:00,0.00012570754716370244
NLD,ccgt,power,2024-01-06 20:00:00,0.00012570681092108002
NLD,ccgt,power,2024-01-06 21:00:00,0.00012571212202264898
NLD,ccgt,power,2024-01-06 22:00:00,0.00012570909680477763
NLD,ccgt,power,2024-01-06 23:00:00,0.0001257070621176696
NLD,ccgt,power,2024-01-07 00:00:00,0.00012568671201172547
NLD,ccgt,power,2024-01-07 01:00:00,0.00010644004513796212
NLD,ccgt,power,2024-01-07 02:00:00,0.00010644006508293315
NLD,ccgt,power,2024-01-07 03:00:00,0.0001064400689443322
NLD,ccgt,power,2024-01-07 04:00:00,0.00010644006844709453
NLD,ccgt,power,2024-01-07 05:00:00,0.00010644006826023705
NLD,ccgt,power,2024-01-07 06:00:00,0.00010644006814484845
NLD,ccgt,power,2024-01-07 07:00:00,0.00010644006790520508
NLD,ccgt,power,2024-01-07 08:00:00,0.00010644006731175097
NLD,ccgt,power,2024-01-07 09:00:00,0.00010644006689077695
NLD,ccgt,power,2024-01-07 10:00:00,0.00010643998914791619
NLD,ccgt,power,2024-01-07 11:00:00,0.00010644007126481975
NLD,ccgt,power,2024-01-07 12:00:00,0.00010644006620174826
NLD,ccgt,power,2024-01-07 13:00:00,0.00010643997892926388
NLD,ccgt,power,2024-01-07 14:00:00,0.00010643999180895251
NLD,ccgt,power,2024-01-07 15:00:00,0.00010644006327227215
NLD,ccgt,power,2024-01-07 16:00:00,0.00010644002571901998
NLD,ccgt,power,2024-01-07 17:00:00,0.00010644288930536198
NLD,ccgt,power,2024-01-07 18:00:00,0.00019701494341868575
NLD,ccgt,power,2024-01-07 19:00:00,355.07524385137003
NLD,ccgt,power,2024-01-07 20:00:00,1977.8604308364702
NLD,ccgt,power,2024-01-07 21:00:00,2364.7784478360068
NLD,ccgt,power,2024-01-07 22:00:00,448.2387119367658
NLD,ccgt,power,2024-01-07 23:00:00,0.00010651084796632973
NLD,ccgt,power,2024-01-08 00:00:00,0.0001256516781035881
NLD,ccgt,power,2024-01-08 01:00:00,0.00012570120648699654
NLD,ccgt,power,2024-01-08 02:00:00,0.00012569860821297005
NLD,ccgt,power,2024-01-08 03:00:00,0.0001380421782652859
NLD,ccgt,power,2024-01-08 04:00:00,0.00010644168555210692
NLD,ccgt,power,2024-01-08 05:00:00,0.00010644122699562768
NLD,ccgt,power,2024-01-08 06:00:00,133.11304390561037
NLD,ccgt,power,2024-01-08 07:00:00,5188.463721168032
NLD,ccgt,power,2024-01-08 08:00:00,4574.747489505621
NLD,ccgt,power,2024-01-08 09:00:00,0.00019701878982639198
NLD,ccgt,power,2024-01-08 10:00:00,0.00010643999790325986
NLD,ccgt,power,2024-01-08 11:00:00,0.00010644005169815896
NLD,ccgt,power,2024-01-08 12:00:00,0.00010644005248930041
NLD,ccgt,power,2024-01-08 13:00:00,0.00010644000744963397
NLD,ccgt,power,2024-01-08 14:00:00,0.00010644114889622833
