nodes,techs,carriers,timesteps,capacity_factor
NLD,ccgt,power,2024-01-09 17:00:00,0.9900140738118697
NLD,ccgt,power,2024-01-09 18:00:00,0.999999998571636
NLD,ccgt,power,2024-01-09 19:00:00,0.999999998571636
NLD,ccgt,power,2024-01-09 20:00:00,0.999999998571636
NLD,ccgt,power,2024-01-09 21:00:00,0.9999999985716359
NLD,ccgt,power,2024-01-09 22:00:00,0.8225121353615235
NLD,ccgt,power,2024-01-09 23:00:00,0.6087250230986992
NLD,ccgt,power,2024-01-10 00:00:00,0.4654186415884408
NLD,ccgt,power,2024-01-10 01:00:00,0.33590026135594364
NLD,ccgt,power,2024-01-10 02:00:00,0.23981219440854967
NLD,ccgt,power,2024-01-10 03:00:00,0.19771086224500833
NLD,ccgt,power,2024-01-10 04:00:00,0.1884064254131369
NLD,ccgt,power,2024-01-10 05:00:00,0.2262530766746893
NLD,ccgt,power,2024-01-10 06:00:00,0.3764132827179253
NLD,ccgt,power,2024-01-10 07:00:00,0.6283213238941273
NLD,ccgt,power,2024-01-10 08:00:00,0.7085251898553093
NLD,ccgt,power,2024-01-10 09:00:00,0.609211948016804
NLD,ccgt,power,2024-01-10 10:00:00,0.43801235211286854
NLD,ccgt,power,2024-01-10 11:00:00,0.3137220497517289
NLD,ccgt,power,2024-01-10 12:00:00,0.23513532508198562
NLD,ccgt,power,2024-01-10 13:00:00,0.2494001442339813
NLD,ccgt,power,2024-01-10 14:00:00,0.3456265779884188
NLD,ccgt,power,2024-01-10 15:00:00,0.5494320213710252
NLD,ccgt,power,2024-01-10 16:00:00,0.6989752926879854
NLD,ccgt,power,2024-01-10 17:00:00,0.7237848624068851
NLD,ccgt,power,2024-01-10 18:00:00,0.7787080714915585
NLD,ccgt,power,2024-01-10 19:00:00,0.8183957055663389
NLD,ccgt,power,2024-01-10 20:00:00,0.8370981479411536
NLD,ccgt,power,2024-01-10 21:00:00,0.7574844026472991
NLD,ccgt,power,2024-01-10 22:00:00,0.561823218847901
NLD,ccgt,power,2024-01-10 23:00:00,0.3606047603481312
NLD,ccgt,power,2024-01-11 00:00:00,0.22278800135884624
NLD,ccgt,power,2024-01-11 01:00:00,0.11323066075494512
NLD,ccgt,power,2024-01-11 02:00:00,0.040180975677973275
NLD,ccgt,power,2024-01-11 03:00:00,0.02236091695529603
NLD,ccgt,power,2024-01-11 04:00:00,0.02560943984691803
NLD,ccgt,power,2024-01-11 05:00:00,0.07429217455842327
NLD,ccgt,power,2024-01-11 06:00:00,0.25260271424081965
NLD,ccgt,power,2024-01-11 07:00:00,0.5054880513533819
NLD,ccgt,power,2024-01-11 08:00:00,0.48750226259766843
NLD,ccgt,power,2024-01-11 09:00:00,0.16413938901077557
NLD,ccgt,power,2024-01-11 10:00:00,5.7467262725444524e-09
NLD,ccgt,power,2024-01-11 11:00:00,5.7466802042121095e-09
NLD,ccgt,power,2024-01-11 12:00:00,5.746681837921706e-09
NLD,ccgt,power,2024-01-11 13:00:00,5.746680425126081e-09
NLD,ccgt,power,2024-01-11 14:00:00,5.746716982139219e-09
NLD,ccgt,power,2024-01-11 15:00:00,0.11604296603418914
NLD,ccgt,power,2024-01-11 16:00:00,0.5025438134561029
NLD,ccgt,power,2024-01-11 17:00:00,0.5991423333423666
NLD,ccgt,power,2024-01-11 18:00:00,0.6493142638934166
NLD,ccgt,power,2024-01-11 19:00:00,0.6847107785786494
NLD,ccgt,power,2024-01-11 20:00:00,0.7196098579977046
NLD,ccgt,power,2024-01-11 21:00:00,0.6732285342745729
NLD,ccgt,power,2024-01-11 22:00:00,0.5140469070745209
NLD,ccgt,power,2024-01-11 23:00:00,0.33654990340324054
NLD,ccgt,power,2024-01-12 00:00:00,0.23581655245123678
NLD,ccgt,power,2024-01-12 01:00:00,0.1548195890203988
NLD,ccgt,power,2024-01-12 02:00:00,0.12299806297931622
NLD,ccgt,power,2024-01-12 03:00:00,0.11571524829048381
NLD,ccgt,power,2024-01-12 04:00:00,0.10516202135316303
NLD,ccgt,power,2024-01-12 05:00:00,0.12422666273456598
NLD,ccgt,power,2024-01-12 06:00:00,0.28135655102949736
NLD,ccgt,power,2024-01-12 07:00:00,0.5297830588759558
NLD,ccgt,power,2024-01-12 08:00:00,0.37806298365013036
NLD,ccgt,power,2024-01-12 09:00:00,0.011098086892271344
NLD,ccgt,power,2024-01-12 10:00:00,5.746703327029422e-09
NLD,ccgt,power,2024-01-12 11:00:00,5.7466811147501236e-09
NLD,ccgt,power,2024-01-12 12:00:00,5.746682028621032e-09
NLD,ccgt,power,2024-01-12 13:00:00,5.746680285469134e-09
NLD,ccgt,power,2024-01-12 14:00:00,5.746714292627904e-09
NLD,ccgt,power,2024-01-12 15:00:00,0.16763651951435474
NLD,ccgt,power,2024-01-12 16:00:00,0.6003908939369509
NLD,ccgt,power,2024-01-12 17:00:00,0.7316808918493367
NLD,ccgt,power,2024-01-12 18:00:00,0.7672459259529202
NLD,ccgt,power,2024-01-12 19:00:00,0.7620265834953048
NLD,ccgt,power,2024-01-12 20:00:00,0.724411947368904
NLD,ccgt,power,2024-01-12 21:00:00,0.6278908401270822
NLD,ccgt,power,2024-01-12 22:00:00,0.42496045895878126
NLD,ccgt,power,2024-01-12 23:00:00,0.22773518672399767
NLD,ccgt,power,2024-01-13 00:00:00,0.08642665798355682
NLD,ccgt,power,2024-01-13 01:00:00,6.787127656950699e-09
NLD,ccgt,power,2024-01-13 02:00:00,6.786708946785014e-09
NLD,ccgt,power,2024-01-13 03:00:00,6.786746213075275e-09
NLD,ccgt,power,2024-01-13 04:00:00,6.786804021321821e-09
NLD,ccgt,power,2024-01-13 05:00:00,6.786747484299595e-09
NLD,ccgt,power,2024-01-13 06:00:00,6.7867605675797424e-09
NLD,ccgt,power,2024-01-13 07:00:00,8.286878104098906e-09
NLD,ccgt,power,2024-01-13 08:00:00,5.74688882172597e-09
NLD,ccgt,power,2024-01-13 09:00:00,6.786439665985485e-09
NLD,ccgt,power,2024-01-13 10:00:00,5.746681985942077e-09
NLD,ccgt,power,2024-01-13 11:00:00,5.746682883262588e-09
NLD,ccgt,power,2024-01-13 12:00:00,5.7466827133570916e-09
NLD,ccgt,power,2024-01-13 13:00:00,5.746680664104517e-09
NLD,ccgt,power,2024-01-13 14:00:00,5.746730007976999e-09
NLD,ccgt,power,2024-01-13 15:00:00,0.03383753758711409
NLD,ccgt,power,2024-01-13 16:00:00,0.18339768305269494
NLD,ccgt,power,2024-01-13 17:00:00,0.18456056373513274
NLD,ccgt,power,2024-01-13 18:00:00,0.23576453486854093
NLD,ccgt,power,2024-01-13 19:00:00,0.2630906944265377
NLD,ccgt,power,2024-01-13 20:00:00,0.2880350342566429
NLD,ccgt,power,2024-01-13 21:00:00,0.26417766840342677
NLD,ccgt,power,2024-01-13 22:00:00,0.14123427627519958
NLD,ccgt,power,2024-01-13 23:00:00,1.071107704082408e-08
NLD,ccgt,power,2024-01-14 00:00:00,5.7483108492237045e-09
NLD,ccgt,power,2024-01-14 01:00:00,5.7470155570212465e-09
NLD,ccgt,power,2024-01-14 02:00:00,6.785389202377861e-09
NLD,ccgt,power,2024-01-14 03:00:00,5.746681940190033e-09
NLD,ccgt,power,2024-01-14 04:00:00,5.746683103930804e-09
NLD,ccgt,power,2024-01-14 05:00:00,5.746683346325395e-09
NLD,ccgt,power,2024-01-14 06:00:00,5.746683320739301e-09
NLD,ccgt,power,2024-01-14 07:00:00,5.7466833115995505e-09
NLD,ccgt,power,2024-01-14 08:00:00,5.74668330930307e-09
NLD,ccgt,power,2024-01-14 09:00:00,5.746683308740188e-09
NLD,ccgt,power,2024-01-14 10:00:00,5.74668330874253e-09
NLD,ccgt,power,2024-01-14 11:00:00,5.746683309300728e-09
NLD,ccgt,power,2024-01-14 12:00:00,5.746683311517413e-09
NLD,ccgt,power,2024-01-14 13:00:00,5.746683320185129e-09
NLD,ccgt,power,2024-01-14 14:00:00,5.746683346913002e-09
NLD,ccgt,power,2024-01-14 15:00:00,5.746683152183033e-09
NLD,ccgt,power,2024-01-14 16:00:00,5.746682114141158e-09
NLD,ccgt,power,2024-01-14 17:00:00,6.782679228464347e-09
NLD,ccgt,power,2024-01-14 18:00:00,6.786860444763024e-09
NLD,ccgt,power,2024-01-14 19:00:00,6.786943512779835e-09
NLD,ccgt,power,2024-01-14 20:00:00,6.786953147260566e-09
NLD,ccgt,power,2024-01-14 21:00:00,6.786920099341456e-09
NLD,ccgt,power,2024-01-14 22:00:00,6.789262991918138e-09
NLD,ccgt,power,2024-01-14 23:00:00,6.784556423522429e-09
NLD,ccgt,power,2024-01-15 00:00:00,5.746681800329475e-09
NLD,ccgt,power,2024-01-15 01:00:00,5.746683039974559e-09
NLD,ccgt,power,2024-01-15 02:00:00,5.746683293862045e-09
NLD,ccgt,power,2024-01-15 03:00:00,5.7466830460705356e-09
NLD,ccgt,power,2024-01-15 04:00:00,5.746681750496214e-09
NLD,ccgt,power,2024-01-15 05:00:00,5.7467178162106e-09
NLD,ccgt,power,2024-01-15 06:00:00,5.746764026650719e-09
NLD,ccgt,power,2024-01-15 07:00:00,0.07949349088458581
NLD,ccgt,power,2024-01-15 08:00:00,0.20512030721134433
NLD,ccgt,power,2024-01-15 09:00:00,0.16923412285402048
NLD,ccgt,power,2024-01-15 10:00:00,0.012911142976276426
NLD,ccgt,power,2024-01-15 11:00:00,5.746716497387593e-09
NLD,ccgt,power,2024-01-15 12:00:00,5.7466805071643966e-09
NLD,ccgt,power,2024-01-15 13:00:00,5.746680986398756e-09
NLD,ccgt,power,2024-01-15 14:00:00,5.74672334179957e-09
NLD,ccgt,power,2024-01-15 15:00:00,1.0635719914701913e-08
NLD,ccgt,power,2024-01-15 16:00:00,0.12022896957710408
NLD,ccgt,power,2024-01-15 17:00:00,0.17034749470011762
NLD,ccgt,power,2024-01-15 18:00:00,0.24002944628919273
NLD,ccgt,power,2024-01-15 19:00:00,0.2905802544812414
NLD,ccgt,power,2024-01-15 20:00:00,0.30522867589001285
NLD,ccgt,power,2024-01-15 21:00:00,0.2553017214034635
NLD,ccgt,power,2024-01-15 22:00:00,0.07629535745930545
NLD,ccgt,power,2024-01-15 23:00:00,6.7862268014205916e-09
NLD,ccgt,power,2024-01-16 00:00:00,6.7864243586054295e-09
NLD,ccgt,power,2024-01-16 01:00:00,6.786479739582906e-09
NLD,ccgt,power,2024-01-16 02:00:00,6.786458600117127e-09
NLD,ccgt,power,2024-01-16 03:00:00,6.786314493809335e-09
NLD,ccgt,power,2024-01-16 04:00:00,5.747247764538027e-09
NLD,ccgt,power,2024-01-16 05:00:00,5.746761024293938e-09
