nodes,techs,costs,timesteps,cost_operation_variable
NLD,ccgt,monetary,2024-01-08 15:00:00,211.24087214090005
NLD,ccgt,monetary,2024-01-08 16:00:00,544.3490530425863
NLD,ccgt,monetary,2024-01-08 17:00:00,632.9157570629687
NLD,ccgt,monetary,2024-01-08 18:00:00,726.352959287283
NLD,ccgt,monetary,2024-01-08 19:00:00,814.3682755201621
NLD,ccgt,monetary,2024-01-08 20:00:00,896.9739012639373
NLD,ccgt,monetary,2024-01-08 21:00:00,896.3223381387315
NLD,ccgt,monetary,2024-01-08 22:00:00,728.5956022938456
NLD,ccgt,monetary,2024-01-08 23:00:00,535.0307080160848
NLD,ccgt,monetary,2024-01-09 00:00:00,394.43233592633493
NLD,ccgt,monetary,2024-01-09 01:00:00,293.7932775271062
NLD,ccgt,monetary,2024-01-09 02:00:00,239.4395990745695
NLD,ccgt,monetary,2024-01-09 03:00:00,228.1889409360457
NLD,ccgt,monetary,2024-01-09 04:00:00,241.3074650010523
NLD,ccgt,monetary,2024-01-09 05:00:00,272.449154827576
NLD,ccgt,monetary,2024-01-09 06:00:00,419.41508132372354
NLD,ccgt,monetary,2024-01-09 07:00:00,640.0202500813039
NLD,ccgt,monetary,2024-01-09 08:00:00,618.3770524829171
NLD,ccgt,monetary,2024-01-09 09:00:00,458.6138293254822
NLD,ccgt,monetary,2024-01-09 10:00:00,301.5452223346013
NLD,ccgt,monetary,2024-01-09 11:00:00,215.52539504830588
NLD,ccgt,monetary,2024-01-09 12:00:00,257.76110218353733
NLD,ccgt,monetary,2024-01-09 13:00:00,412.5652267727328
NLD,ccgt,monetary,2024-01-09 14:00:00,598.9615554701325
NLD,ccgt,monetary,2024-01-09 15:00:00,772.7686645798001
NLD,ccgt,monetary,2024-01-09 16:00:00,883.7306968197705
NLD,ccgt,monetary,2024-01-09 17:00:00,912.6055611797708
NLD,ccgt,monetary,2024-01-09 18:00:00,921.810693420161
NLD,ccgt,monetary,2024-01-09 19:00:00,921.810693420161
NLD,ccgt,monetary,2024-01-09 20:00:00,921.810693420161
NLD,ccgt,monetary,2024-01-09 21:00:00,921.8106934201608
NLD,ccgt,monetary,2024-01-09 22:00:00,758.2004829270895
NLD,ccgt,monetary,2024-01-09 23:00:00,561.1292364463122
NLD,ccgt,monetary,2024-01-10 00:00:00,429.02788134611797
NLD,ccgt,monetary,2024-01-10 01:00:00,309.63645328280927
NLD,ccgt,monetary,2024-01-10 02:00:00,221.06144553411184
NLD,ccgt,monetary,2024-01-10 03:00:00,182.2519872830912
NLD,ccgt,monetary,2024-01-10 04:00:00,173.67505790296877
NLD,ccgt,monetary,2024-01-10 05:00:00,208.56250579584338
NLD,ccgt,monetary,2024-01-10 06:00:00,346.9817896503861
NLD,ccgt,monetary,2024-01-10 07:00:00,579.193316096818
NLD,ccgt,monetary,2024-01-10 08:00:00,653.1260974990756
NLD,ccgt,monetary,2024-01-10 09:00:00,561.5780890433551
NLD,ccgt,monetary,2024-01-10 10:00:00,403.76447060448163
NLD,ccgt,monetary,2024-01-10 11:00:00,289.19234063590744
NLD,ccgt,monetary,2024-01-10 12:00:00,216.75025737099838
NLD,ccgt,monetary,2024-01-10 13:00:00,229.89972022379493
NLD,ccgt,monetary,2024-01-10 14:00:00,318.6022759750217
NLD,ccgt,monetary,2024-01-10 15:00:00,506.47231333069226
NLD,ccgt,monetary,2024-01-10 16:00:00,644.3229001565994
NLD,ccgt,monetary,2024-01-10 17:00:00,667.1926268553004
NLD,ccgt,monetary,2024-01-10 18:00:00,717.8214283788202
NLD,ccgt,monetary,2024-01-10 19:00:00,754.405913917755
NLD,ccgt,monetary,2024-01-10 20:00:00,771.6460253165586
NLD,ccgt,monetary,2024-01-10 21:00:00,698.2572234566286
NLD,ccgt,monetary,2024-01-10 22:00:00,517.8946516854726
NLD,ccgt,monetary,2024-01-10 23:00:00,332.4093246619233
NLD,ccgt,monetary,2024-01-11 00:00:00,205.36836231163056
NLD,ccgt,monetary,2024-01-11 01:00:00,104.37723405602766
NLD,ccgt,monetary,2024-01-11 02:00:00,37.0392531049167
NLD,ccgt,monetary,2024-01-11 03:00:00,20.612532393514268
NLD,ccgt,monetary,2024-01-11 04:00:00,23.607055537108877
NLD,ccgt,monetary,2024-01-11 05:00:00,68.4833210432109
NLD,ccgt,monetary,2024-01-11 06:00:00,232.85188350674196
NLD,ccgt,monetary,2024-01-11 07:00:00,465.9642917992336
NLD,ccgt,monetary,2024-01-11 08:00:00,449.38479937093916
NLD,ccgt,monetary,2024-01-11 09:00:00,151.3054442177038
NLD,ccgt,monetary,2024-01-11 10:00:00,5.2973937377566655e-06
NLD,ccgt,monetary,2024-01-11 11:00:00,5.297351271475222e-06
NLD,ccgt,monetary,2024-01-11 12:00:00,5.297352777446201e-06
NLD,ccgt,monetary,2024-01-11 13:00:00,5.297351475116085e-06
NLD,ccgt,monetary,2024-01-11 14:00:00,5.297385173761763e-06
NLD,ccgt,monetary,2024-01-11 15:00:00,106.96964713929967
NLD,ccgt,monetary,2024-01-11 16:00:00,463.25026181767225
NLD,ccgt,monetary,2024-01-11 17:00:00,552.2958105445797
NLD,ccgt,monetary,2024-01-11 18:00:00,598.5448327021315
NLD,ccgt,monetary,2024-01-11 19:00:00,631.1737184953888
NLD,ccgt,monetary,2024-01-11 20:00:00,663.3440631403444
NLD,ccgt,monetary,2024-01-11 21:00:00,620.58926289631
NLD,ccgt,monetary,2024-01-11 22:00:00,473.8539365376891
NLD,ccgt,monetary,2024-01-11 23:00:00,310.2353002697583
NLD,ccgt,monetary,2024-01-12 00:00:00,217.37822004552152
NLD,ccgt,monetary,2024-01-12 01:00:00,142.71435291376622
NLD,ccgt,monetary,2024-01-12 02:00:00,113.38092988624935
NLD,ccgt,monetary,2024-01-12 03:00:00,106.66755341829708
NLD,ccgt,monetary,2024-01-12 04:00:00,96.93947596348985
NLD,ccgt,monetary,2024-01-12 05:00:00,114.51346628018965
NLD,ccgt,monetary,2024-01-12 06:00:00,259.35747777326276
NLD,ccgt,monetary,2024-01-12 07:00:00,488.3596895622541
NLD,ccgt,monetary,2024-01-12 08:00:00,348.5025016128101
NLD,ccgt,monetary,2024-01-12 09:00:00,10.23033518841449
NLD,ccgt,monetary,2024-01-12 10:00:00,5.297372586335513e-06
NLD,ccgt,monetary,2024-01-12 11:00:00,5.297352110818902e-06
NLD,ccgt,monetary,2024-01-12 12:00:00,5.29735295323488e-06
NLD,ccgt,monetary,2024-01-12 13:00:00,5.2973513463788175e-06
NLD,ccgt,monetary,2024-01-12 14:00:00,5.297382694541468e-06
NLD,ccgt,monetary,2024-01-12 15:00:00,154.52913651679353
NLD,ccgt,monetary,2024-01-12 16:00:00,553.4467470536945
NLD,ccgt,monetary,2024-01-12 17:00:00,674.4712712413093
NLD,ccgt,monetary,2024-01-12 18:00:00,707.2555000366731
NLD,ccgt,monetary,2024-01-12 19:00:00,702.4442543397492
NLD,ccgt,monetary,2024-01-12 20:00:00,667.7706804797981
NLD,ccgt,monetary,2024-01-12 21:00:00,578.7964915564451
NLD,ccgt,monetary,2024-01-12 22:00:00,391.73309590848146
NLD,ccgt,monetary,2024-01-12 23:00:00,209.92873069007277
NLD,ccgt,monetary,2024-01-13 00:00:00,79.66901763960595
NLD,ccgt,monetary,2024-01-13 01:00:00,6.2564468607213605e-06
NLD,ccgt,monetary,2024-01-13 02:00:00,6.256060889212637e-06
NLD,ccgt,monetary,2024-01-13 03:00:00,6.256095241677552e-06
NLD,ccgt,monetary,2024-01-13 04:00:00,6.2561485299374625e-06
NLD,ccgt,monetary,2024-01-13 05:00:00,6.256096413505726e-06
NLD,ccgt,monetary,2024-01-13 06:00:00,6.256108473813288e-06
NLD,ccgt,monetary,2024-01-13 07:00:00,7.638932862338938e-06
NLD,ccgt,monetary,2024-01-13 08:00:00,5.2975435773306085e-06
NLD,ccgt,monetary,2024-01-13 09:00:00,6.255812663291743e-06
NLD,ccgt,monetary,2024-01-13 10:00:00,5.2973529138929625e-06
NLD,ccgt,monetary,2024-01-13 11:00:00,5.297353741052606e-06
NLD,ccgt,monetary,2024-01-13 12:00:00,5.297353584431902e-06
NLD,ccgt,monetary,2024-01-13 13:00:00,5.297351695408962e-06
NLD,ccgt,monetary,2024-01-13 14:00:00,5.297397181118336e-06
NLD,ccgt,monetary,2024-01-13 15:00:00,31.191804031361645
NLD,ccgt,monetary,2024-01-13 16:00:00,169.0579456279319
NLD,ccgt,monetary,2024-01-13 17:00:00,170.1299014777059
NLD,ccgt,monetary,2024-01-13 18:00:00,217.33026968147814
NLD,ccgt,monetary,2024-01-13 19:00:00,242.51981580812497
NLD,ccgt,monetary,2024-01-13 20:00:00,265.5137750366661
NLD,ccgt,monetary,2024-01-13 21:00:00,243.52180004492195
NLD,ccgt,monetary,2024-01-13 22:00:00,130.19126633389683
NLD,ccgt,monetary,2024-01-13 23:00:00,9.873585368381885e-06
NLD,ccgt,monetary,2024-01-14 00:00:00,5.298854417486231e-06
NLD,ccgt,monetary,2024-01-14 01:00:00,5.297660403281195e-06
NLD,ccgt,monetary,2024-01-14 02:00:00,6.254844334703804e-06
NLD,ccgt,monetary,2024-01-14 03:00:00,5.297352871718238e-06
NLD,ccgt,monetary,2024-01-14 04:00:00,5.297353944466926e-06
NLD,ccgt,monetary,2024-01-14 05:00:00,5.297354167908853e-06
NLD,ccgt,monetary,2024-01-14 06:00:00,5.297354144323318e-06
NLD,ccgt,monetary,2024-01-14 07:00:00,5.297354135898198e-06
NLD,ccgt,monetary,2024-01-14 08:00:00,5.297354133781278e-06
NLD,ccgt,monetary,2024-01-14 09:00:00,5.297354133262407e-06
NLD,ccgt,monetary,2024-01-14 10:00:00,5.2973541332645655e-06
NLD,ccgt,monetary,2024-01-14 11:00:00,5.297354133779119e-06
NLD,ccgt,monetary,2024-01-14 12:00:00,5.297354135822483e-06
NLD,ccgt,monetary,2024-01-14 13:00:00,5.297354143812477e-06
NLD,ccgt,monetary,2024-01-14 14:00:00,5.297354168450516e-06
NLD,ccgt,monetary,2024-01-14 15:00:00,5.297353988946347e-06
NLD,ccgt,monetary,2024-01-14 16:00:00,5.297353032068246e-06
NLD,ccgt,monetary,2024-01-14 17:00:00,6.252346251767868e-06
NLD,ccgt,monetary,2024-01-14 18:00:00,6.2562005416689964e-06
NLD,ccgt,monetary,2024-01-14 19:00:00,6.256277114655283e-06
NLD,ccgt,monetary,2024-01-14 20:00:00,6.25628599582266e-06
NLD,ccgt,monetary,2024-01-14 21:00:00,6.256255531897385e-06
NLD,ccgt,monetary,2024-01-14 22:00:00,6.25841523533119e-06
NLD,ccgt,monetary,2024-01-14 23:00:00,6.2540766702485155e-06
NLD,ccgt,monetary,2024-01-15 00:00:00,5.2973527427932804e-06
NLD,ccgt,monetary,2024-01-15 01:00:00,5.2973538855113764e-06
NLD,ccgt,monetary,2024-01-15 02:00:00,5.297354119547576e-06
NLD,ccgt,monetary,2024-01-15 03:00:00,5.297353891130713e-06
NLD,ccgt,monetary,2024-01-15 04:00:00,5.2973526968564475e-06
NLD,ccgt,monetary,2024-01-15 05:00:00,5.297385942617681e-06
NLD,ccgt,monetary,2024-01-15 06:00:00,5.297428539895592e-06
NLD,ccgt,monetary,2024-01-15 07:00:00,73.27795005937688
NLD,ccgt,monetary,2024-01-15 08:00:00,189.08209289512382
NLD,ccgt,monetary,2024-01-15 09:00:00,156.00182436124473
NLD,ccgt,monetary,2024-01-15 10:00:00,11.90162967680807
NLD,ccgt,monetary,2024-01-15 11:00:00,5.297384726912529e-06
NLD,ccgt,monetary,2024-01-15 12:00:00,5.297351550739881e-06
NLD,ccgt,monetary,2024-01-15 13:00:00,5.297351992503238e-06
NLD,ccgt,monetary,2024-01-15 14:00:00,5.29739103616469e-06
NLD,ccgt,monetary,2024-01-15 15:00:00,9.804120363597837e-06
NLD,ccgt,monetary,2024-01-15 16:00:00,110.82834997336496
NLD,ccgt,monetary,2024-01-15 17:00:00,157.02814243619594
NLD,ccgt,monetary,2024-01-15 18:00:00,221.2617106411403
NLD,ccgt,monetary,2024-01-15 19:00:00,267.8599862601616
NLD,ccgt,monetary,2024-01-15 20:00:00,281.3630577757792
NLD,ccgt,monetary,2024-01-15 21:00:00,235.33985717443844
NLD,ccgt,monetary,2024-01-15 22:00:00,70.32987646475806
NLD,ccgt,monetary,2024-01-15 23:00:00,6.2556164424592935e-06
NLD,ccgt,monetary,2024-01-16 00:00:00,6.2557985527851e-06
NLD,ccgt,monetary,2024-01-16 01:00:00,6.255849603562422e-06
NLD,ccgt,monetary,2024-01-16 02:00:00,6.2558301169767856e-06
NLD,ccgt,monetary,2024-01-16 03:00:00,6.255697278241085e-06
NLD,ccgt,monetary,2024-01-16 04:00:00,5.297874454653562e-06
NLD,ccgt,monetary,2024-01-16 05:00:00,5.297425772291002e-06
NLD,ccgt,monetary,2024-01-16 06:00:00,5.297561787652052e-06
NLD,ccgt,monetary,2024-01-16 07:00:00,92.08541078703904
NLD,ccgt,monetary,2024-01-16 08:00:00,129.84725479773033
NLD,ccgt,monetary,2024-01-16 09:00:00,1.3698571807008615e-05
NLD,ccgt,monetary,2024-01-16 10:00:00,5.297374643535801e-06
NLD,ccgt,monetary,2024-01-16 11:00:00,5.297352071639466e-06
NLD,ccgt,monetary,2024-01-16 12:00:00,5.297353283173715e-06
NLD,ccgt,monetary,2024-01-16 13:00:00,5.2973529447521744e-06
NLD,ccgt,monetary,2024-01-16 14:00:00,5.297435974897589e-06
NLD,ccgt,monetary,2024-01-16 15:00:00,7.638456108004923e-06
NLD,ccgt,monetary,2024-01-16 16:00:00,6.257331376847044e-06
NLD,ccgt,monetary,2024-01-16 17:00:00,6.254900137267521e-06
NLD,ccgt,monetary,2024-01-16 18:00:00,6.256039799184947e-06
NLD,ccgt,monetary,2024-01-16 19:00:00,6.256004920189972e-06
NLD,ccgt,monetary,2024-01-16 20:00:00,6.255982705944709e-06
NLD,ccgt,monetary,2024-01-16 21:00:00,5.297353061696329e-06
NLD,ccgt,monetary,2024-01-16 22:00:00,5.297353995817534e-06
NLD,ccgt,monetary,2024-01-16 23:00:00,5.297354167264971e-06
NLD,ccgt,monetary,2024-01-17 00:00:00,5.297354143886293e-06
NLD,ccgt,monetary,2024-01-17 01:00:00,5.297354135833534e-06
NLD,ccgt,monetary,2024-01-17 02:00:00,5.2973541336920935e-06
