nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-01-10 05:00:00,0.00010644047780663905
NLD,curtailment,power,2024-01-10 06:00:00,0.00010644027053020519
NLD,curtailment,power,2024-01-10 07:00:00,0.00010643978639797089
NLD,curtailment,power,2024-01-10 08:00:00,0.00010643964196886332
NLD,curtailment,power,2024-01-10 09:00:00,0.00010643989026404288
NLD,curtailment,power,2024-01-10 10:00:00,0.00010644019128694046
NLD,curtailment,power,2024-01-10 11:00:00,0.00010644029998512113
NLD,curtailment,power,2024-01-10 12:00:00,0.00010644045230715805
NLD,curtailment,power,2024-01-10 13:00:00,0.00010644041680869104
NLD,curtailment,power,2024-01-10 14:00:00,0.0001064402893300679
NLD,curtailment,power,2024-01-10 15:00:00,0.0001064399918667483
NLD,curtailment,power,2024-01-10 16:00:00,0.00010643969424921004
NLD,curtailment,power,2024-01-10 17:00:00,0.0001064397357638143
NLD,curtailment,power,2024-01-10 18:00:00,0.00010643955520688725
NLD,curtailment,power,2024-01-10 19:00:00,0.00010643942759555255
NLD,curtailment,power,2024-01-10 20:00:00,0.00010643928354451757
NLD,curtailment,power,2024-01-10 21:00:00,0.00010643955217955886
NLD,curtailment,power,2024-01-10 22:00:00,0.00010644000464927333
NLD,curtailment,power,2024-01-10 23:00:00,0.00010644026590307144
NLD,curtailment,power,2024-01-11 00:00:00,0.00010644046363152138
NLD,curtailment,power,2024-01-11 01:00:00,0.0001064410415695799
NLD,curtailment,power,2024-01-11 02:00:00,0.00010644306251632665
NLD,curtailment,power,2024-01-11 03:00:00,0.00010644547462812515
NLD,curtailment,power,2024-01-11 04:00:00,0.00010644482488441492
NLD,curtailment,power,2024-01-11 05:00:00,0.00010644163842246993
NLD,curtailment,power,2024-01-11 06:00:00,0.0001064404317999354
NLD,curtailment,power,2024-01-11 07:00:00,0.00010643992002190572
NLD,curtailment,power,2024-01-11 08:00:00,0.00010643990973236567
NLD,curtailment,power,2024-01-11 09:00:00,0.00010644073841073118
NLD,curtailment,power,2024-01-11 10:00:00,1450.5817767773274
NLD,curtailment,power,2024-01-11 11:00:00,4434.49014065227
NLD,curtailment,power,2024-01-11 12:00:00,3833.725479521403
NLD,curtailment,power,2024-01-11 13:00:00,4018.3187086910575
NLD,curtailment,power,2024-01-11 14:00:00,2279.631467480958
NLD,curtailment,power,2024-01-11 15:00:00,0.00010644109432059873
