nodes,NLD,NLD
techs,solar_pv,wind_onshore
2025-09-11 06:00:00,0.002567299459638431,0.23559808061652926
2025-09-11 07:00:00,0.0010217463844404838,0.23070316807328556
2025-09-11 08:00:00,0.0720913208464716,0.2179682283872453
2025-09-11 09:00:00,0.2784517567571063,0.16653290155283454
2025-09-11 10:00:00,0.4719045611275941,0.111961582037285
2025-09-11 11:00:00,0.5267102611790694,0.11792251579795582
2025-09-11 12:00:00,0.5388612830547889,0.1259477864685889
2025-09-11 13:00:00,0.5460458414922152,0.11168336837258336
2025-09-11 14:00:00,0.5207608518519476,0.10819115677994341
2025-09-11 15:00:00,0.48025960118263905,0.124352117198718
2025-09-11 16:00:00,0.46393105927939715,0.14634690069250483
2025-09-11 17:00:00,0.4676106396132366,0.13407432764021254
2025-09-11 18:00:00,0.3362838954662914,0.19743933766729477
2025-09-11 19:00:00,0.18147638472502087,0.21104511884061483
2025-09-11 20:00:00,0.050744581510787826,0.18854867830333286
2025-09-11 21:00:00,0.012513159834761622,0.16019772436732443
2025-09-11 22:00:00,0.012454959091344127,0.14590077126741108
2025-09-11 23:00:00,0.009493187926320444,0.14226100101179623
2025-09-12 00:00:00,0.013444371729441556,0.13219965707984707
2025-09-12 01:00:00,0.014692454338283414,0.11927811066748258
2025-09-12 02:00:00,0.014640720344134528,0.11513983387154429
2025-09-12 03:00:00,0.014420850869001765,0.11903306816598305
2025-09-12 04:00:00,0.01376770919287209,0.10639006864461718
2025-09-12 05:00:00,0.011342678217143094,0.09458201305035352
2025-09-12 06:00:00,0.007895900856973613,0.07798646495368156
2025-09-12 07:00:00,0.0036731135845708535,0.062147098204819055
2025-09-12 08:00:00,0.06987969259660676,0.05231664980339648
2025-09-12 09:00:00,0.26376576916809147,0.03984535270488873
2025-09-12 10:00:00,0.4589193285962239,0.0325167370480997
2025-09-12 11:00:00,0.5577635911669377,0.032503286823020484
2025-09-12 12:00:00,0.5679939885098798,0.03664362356334026
2025-09-12 13:00:00,0.5778040471503623,0.0505422500651306
2025-09-12 14:00:00,0.5815935622217681,0.06769873919286531
2025-09-12 15:00:00,0.5369923925161604,0.08715164219977825
2025-09-12 16:00:00,0.4897592558582281,0.11544240334922722
2025-09-12 17:00:00,0.46822498079375463,0.14460918614020954
2025-09-12 18:00:00,0.3897380449206271,0.1535237772109565
2025-09-12 19:00:00,0.21490301169446935,0.13902064791309457
2025-09-12 20:00:00,0.03485577855781144,0.12393355467637669
2025-09-12 21:00:00,0.013159834761622687,0.12069535240195574
2025-09-12 22:00:00,0.011982886394735548,0.12171838742706888
2025-09-12 23:00:00,0.0083744403028508,0.11195237287416769
2025-09-13 00:00:00,0.01721448655304157,0.10858951367136617
2025-09-13 01:00:00,0.012778296554774658,0.10700147831302673
2025-09-13 02:00:00,0.013463771977247388,0.10354864801003315
2025-09-13 03:00:00,0.013450838478710167,0.09263757702071455
2025-09-13 04:00:00,0.013166301510891298,0.0869344998273282
2025-09-13 05:00:00,0.010404999573194547,0.08802639152272301
2025-09-13 06:00:00,0.008115770332106375,0.08878954032946994
2025-09-13 07:00:00,0.0035955125933475256,0.08101852132345368
2025-09-13 08:00:00,0.057107862791100715,0.07474138610022235
2025-09-13 09:00:00,0.22752610626679737,0.06323602115684053
2025-09-13 10:00:00,0.4044757665037908,0.04696264230277548
2025-09-13 11:00:00,0.4639957267720833,0.04251813053988719
2025-09-13 12:00:00,0.5076204173381308,0.036269895124596344
2025-09-13 13:00:00,0.4836805115457341,0.05443678697145766
2025-09-13 14:00:00,0.5080213557927846,0.06696782245702897
2025-09-13 15:00:00,0.4682120472952174,0.06645689566381709
2025-09-13 16:00:00,0.43953848103819776,0.08694798034570714
2025-09-13 17:00:00,0.4035057541134992,0.12502808188884784
2025-09-13 18:00:00,0.3631467719281001,0.1449383531350536
2025-09-13 19:00:00,0.17532003942130353,0.14566621024761744
2025-09-13 20:00:00,0.04291334814650032,0.15310660818040264
2025-09-13 21:00:00,0.009603122663886826,0.1650318382580141
2025-09-13 22:00:00,0.009331519194605179,0.16737529763166983
2025-09-13 23:00:00,0.008154570827718038,0.16800830642278541
2025-09-14 00:00:00,0.00983592563755681,0.16241416393522082
2025-09-14 01:00:00,0.012189822371331089,0.15989972917790046
2025-09-14 02:00:00,0.009480254427783224,0.16116916990300087
2025-09-14 03:00:00,0.008801245754579105,0.15076587520372245
2025-09-14 04:00:00,0.006815953729115633,0.1443859245212144
2025-09-14 05:00:00,0.006311547286164001,0.1374308252500712
2025-09-14 06:00:00,0.0019335580313145865,0.13516685549490165
2025-09-14 07:00:00,0.002767768686965361,0.12635710953451315
2025-09-14 08:00:00,0.06807546955066439,0.11374940170733039
2025-09-14 09:00:00,0.26769108597413815,0.07800258098913682
2025-09-14 10:00:00,0.45348079246132234,0.050593809261267594
2025-09-14 11:00:00,0.5041413062316182,0.04088029299679497
2025-09-14 12:00:00,0.49474511954432693,0.043022847206654835
