nodes,NLD
techs,demand_power
2025-09-21 06:00:00,20869.417
2025-09-21 07:00:00,21387.5
2025-09-21 08:00:00,21650.917
2025-09-21 09:00:00,22662.667
2025-09-21 10:00:00,23512.25
2025-09-21 11:00:00,23734.75
2025-09-21 12:00:00,23970.417
2025-09-21 13:00:00,24401.333
2025-09-21 14:00:00,24704.917
2025-09-21 15:00:00,23763.583
2025-09-21 16:00:00,23280.917
2025-09-21 17:00:00,23361.5
2025-09-21 18:00:00,24010.167
2025-09-21 19:00:00,24747.0
2025-09-21 20:00:00,26581.75
2025-09-21 21:00:00,27201.75
2025-09-21 22:00:00,25591.833
2025-09-21 23:00:00,23723.583
2025-09-22 00:00:00,22208.917
2025-09-22 01:00:00,21192.833
2025-09-22 02:00:00,20286.75
2025-09-22 03:00:00,19868.667
2025-09-22 04:00:00,19901.417
2025-09-22 05:00:00,20489.0
2025-09-22 06:00:00,23241.667
2025-09-22 07:00:00,26761.75
2025-09-22 08:00:00,27993.75
2025-09-22 09:00:00,27863.583
2025-09-22 10:00:00,27196.333
2025-09-22 11:00:00,26743.0
2025-09-22 12:00:00,26413.083
2025-09-22 13:00:00,26635.083
2025-09-22 14:00:00,26334.0
2025-09-22 15:00:00,26030.417
2025-09-22 16:00:00,26234.25
2025-09-22 17:00:00,27103.833
2025-09-22 18:00:00,27850.417
2025-09-22 19:00:00,28606.25
2025-09-22 20:00:00,30548.417
2025-09-22 21:00:00,30465.417
2025-09-22 22:00:00,27394.5
2025-09-22 23:00:00,24969.5
2025-09-23 00:00:00,23690.667
2025-09-23 01:00:00,22663.667
2025-09-23 02:00:00,21740.0
2025-09-23 03:00:00,21357.333
2025-09-23 04:00:00,21222.5
2025-09-23 05:00:00,21713.917
2025-09-23 06:00:00,24073.0
2025-09-23 07:00:00,27396.167
2025-09-23 08:00:00,28580.583
2025-09-23 09:00:00,28405.083
2025-09-23 10:00:00,27451.583
2025-09-23 11:00:00,26565.25
2025-09-23 12:00:00,26583.333
2025-09-23 13:00:00,26451.25
2025-09-23 14:00:00,25941.667
2025-09-23 15:00:00,25573.333
2025-09-23 16:00:00,26077.0
2025-09-23 17:00:00,26803.833
2025-09-23 18:00:00,27543.083
2025-09-23 19:00:00,28716.583
2025-09-23 20:00:00,30948.75
2025-09-23 21:00:00,30659.083
2025-09-23 22:00:00,27609.333
2025-09-23 23:00:00,24799.0
2025-09-24 00:00:00,23471.917
2025-09-24 01:00:00,22461.75
2025-09-24 02:00:00,21700.083
2025-09-24 03:00:00,21369.667
2025-09-24 04:00:00,21153.75
2025-09-24 05:00:00,21615.167
2025-09-24 06:00:00,23837.167
2025-09-24 07:00:00,27088.167
2025-09-24 08:00:00,28247.083
2025-09-24 09:00:00,28048.25
2025-09-24 10:00:00,27322.917
2025-09-24 11:00:00,26751.583
2025-09-24 12:00:00,26634.583
2025-09-24 13:00:00,26763.25
2025-09-24 14:00:00,26330.167
2025-09-24 15:00:00,25797.5
2025-09-24 16:00:00,25995.5
2025-09-24 17:00:00,26865.917
2025-09-24 18:00:00,27517.75
2025-09-24 19:00:00,28513.333
2025-09-24 20:00:00,30535.0
2025-09-24 21:00:00,30311.25
2025-09-24 22:00:00,27324.083
2025-09-24 23:00:00,24823.583
2025-09-25 00:00:00,23459.583
2025-09-25 01:00:00,22504.75
2025-09-25 02:00:00,21785.583
2025-09-25 03:00:00,21349.25
2025-09-25 04:00:00,21350.917
2025-09-25 05:00:00,21771.333
2025-09-25 06:00:00,24240.833
2025-09-25 07:00:00,27812.833
2025-09-25 08:00:00,29014.75
2025-09-25 09:00:00,29006.5
2025-09-25 10:00:00,28551.417
2025-09-25 11:00:00,27797.5
2025-09-25 12:00:00,27462.167
2025-09-25 13:00:00,27697.333
2025-09-25 14:00:00,27296.083
2025-09-25 15:00:00,26750.833
2025-09-25 16:00:00,26986.25
2025-09-25 17:00:00,27846.083
2025-09-25 18:00:00,28560.0
2025-09-25 19:00:00,29630.833
2025-09-25 20:00:00,31547.667
2025-09-25 21:00:00,31171.75
2025-09-25 22:00:00,28089.0
2025-09-25 23:00:00,25491.083
2025-09-26 00:00:00,24240.417
2025-09-26 01:00:00,23193.333
2025-09-26 02:00:00,22605.083
2025-09-26 03:00:00,22087.917
2025-09-26 04:00:00,21878.917
2025-09-26 05:00:00,22276.667
2025-09-26 06:00:00,24684.167
2025-09-26 07:00:00,28075.5
2025-09-26 08:00:00,29358.0
2025-09-26 09:00:00,29167.583
2025-09-26 10:00:00,28651.5
2025-09-26 11:00:00,27898.333
2025-09-26 12:00:00,27780.333
2025-09-26 13:00:00,27473.917
2025-09-26 14:00:00,26665.917
2025-09-26 15:00:00,26145.833
2025-09-26 16:00:00,26314.75
2025-09-26 17:00:00,27224.833
2025-09-26 18:00:00,28040.583
2025-09-26 19:00:00,28767.0
2025-09-26 20:00:00,30324.667
2025-09-26 21:00:00,30041.75
2025-09-26 22:00:00,27272.75
2025-09-26 23:00:00,25097.25
2025-09-27 00:00:00,23937.0
2025-09-27 01:00:00,22766.417
2025-09-27 02:00:00,21746.0
2025-09-27 03:00:00,21114.167
2025-09-27 04:00:00,20833.667
2025-09-27 05:00:00,20681.25
2025-09-27 06:00:00,21226.417
2025-09-27 07:00:00,22465.167
2025-09-27 08:00:00,23234.917
2025-09-27 09:00:00,24083.0
2025-09-27 10:00:00,24358.583
2025-09-27 11:00:00,24061.417
2025-09-27 12:00:00,23852.833
2025-09-27 13:00:00,24031.917
2025-09-27 14:00:00,23950.333
2025-09-27 15:00:00,23215.333
2025-09-27 16:00:00,23007.083
2025-09-27 17:00:00,23572.667
2025-09-27 18:00:00,24346.25
2025-09-27 19:00:00,25381.417
2025-09-27 20:00:00,26963.583
2025-09-27 21:00:00,26975.333
2025-09-27 22:00:00,25016.083
2025-09-27 23:00:00,23278.167
2025-09-28 00:00:00,22045.0
2025-09-28 01:00:00,20851.5
2025-09-28 02:00:00,19984.5
2025-09-28 03:00:00,19331.167
2025-09-28 04:00:00,19023.5
2025-09-28 05:00:00,19041.167
2025-09-28 06:00:00,19304.25
2025-09-28 07:00:00,19966.0
2025-09-28 08:00:00,20360.083
2025-09-28 09:00:00,21564.333
2025-09-28 10:00:00,22543.75
2025-09-28 11:00:00,22597.417
2025-09-28 12:00:00,22711.417
2025-09-28 13:00:00,23166.417
2025-09-28 14:00:00,22927.833
2025-09-28 15:00:00,21989.333
2025-09-28 16:00:00,21503.75
2025-09-28 17:00:00,21719.667
2025-09-28 18:00:00,22613.833
2025-09-28 19:00:00,24060.583
2025-09-28 20:00:00,26188.083
2025-09-28 21:00:00,26464.333
2025-09-28 22:00:00,24799.0
2025-09-28 23:00:00,22839.167
2025-09-29 00:00:00,21416.417
2025-09-29 01:00:00,20413.0
2025-09-29 02:00:00,19886.75
2025-09-29 03:00:00,19500.417
2025-09-29 04:00:00,19416.833
2025-09-29 05:00:00,19967.5
2025-09-29 06:00:00,22710.583
2025-09-29 07:00:00,26513.417
2025-09-29 08:00:00,28174.75
2025-09-29 09:00:00,28469.75
2025-09-29 10:00:00,28457.333
2025-09-29 11:00:00,27959.0
2025-09-29 12:00:00,27898.917
2025-09-29 13:00:00,27926.917
2025-09-29 14:00:00,27405.5
2025-09-29 15:00:00,26587.333
2025-09-29 16:00:00,26522.333
2025-09-29 17:00:00,26876.833
2025-09-29 18:00:00,27642.583
2025-09-29 19:00:00,28679.583
2025-09-29 20:00:00,30740.75
2025-09-29 21:00:00,30208.083
2025-09-29 22:00:00,27131.667
2025-09-29 23:00:00,24699.75
2025-09-30 00:00:00,23098.5
2025-09-30 01:00:00,22021.917
2025-09-30 02:00:00,21381.083
2025-09-30 03:00:00,21097.667
2025-09-30 04:00:00,20860.0
2025-09-30 05:00:00,21444.083
2025-09-30 06:00:00,23836.333
2025-09-30 07:00:00,27305.333
2025-09-30 08:00:00,28930.583
2025-09-30 09:00:00,28852.917
2025-09-30 10:00:00,28597.25
2025-09-30 11:00:00,28182.75
2025-09-30 12:00:00,27867.417
2025-09-30 13:00:00,27842.333
2025-09-30 14:00:00,27412.5
2025-09-30 15:00:00,27039.0
2025-09-30 16:00:00,26869.833
2025-09-30 17:00:00,27652.583
2025-09-30 18:00:00,28322.75
2025-09-30 19:00:00,29335.833
2025-09-30 20:00:00,31345.0
2025-09-30 21:00:00,30769.417
2025-09-30 22:00:00,27631.917
2025-09-30 23:00:00,24969.083
